序号,岗位类别,岗位名称,薪酬,地点,学历要求,经验要求,企业名称,企业规模,所属地域,所属行业,岗位职责,岗位要求
1,光电技术工程师,光学工程师,15-30k·14薪,杭州-滨江区,经验不限-硕士,经验不限-硕士,杭州越光智能科技有限公司,计算机软件-A轮-1-49人,杭州-滨江区,计算机软件-A轮-1-49人,"1. 负责光学加工设备系统光路设计，光学零部件的选型；
2. 负责专用光学镜头的开发；
3. 完成公司研发任务，工程任务中激光部分和光学部分的设计工作；
4. 激光光学装配，检验平台设计，激光镜头的结构设计；
5. 保持保量完成领导安排的工作任务。
","任职要求
1. 光学类、物理类相关专业硕士以上学历。欢迎应届生；
2. 熟悉激光器设计、光学零部件设计、光路设计、光学仪表应用等；
3. 了解机械设计、电气设计，能完成成套设备的系统设计；
4. 工作有责任心，具有团队协作精神和敬业精神；
5.有激光工作经验优先、最好做过光学测量、激光测距和光电信息处理。"
2,光电技术工程师,算法专家,30-50k·18薪,北京,经验不限-博士-计算摄影-图像视频理解-多模态-人机交互-深度学习,经验不限-博士-计算摄影-图像视频理解-多模态-人机交互-深度学习,荣耀终端,通信设备-其他-10000人以上,北京,通信设备-其他-10000人以上,"公司简介：
HONOR荣耀是服务全球的智能终端提供商。我们致力于成为构建全场景、面向全渠道、服务全人群的全球标志性科技品牌，荣耀以创新、品质和服务作为三大战略控制点，坚持研发及前瞻性技术的持续投入，为全球消费者带来不断创新的智能设备，创造属于每个人的智慧新世界。

此次招聘岗位集中在人工智能相关岗位，工作城市位于北京，期待你的加入。

视觉算法专家
岗位职责：
1. 牵头计算摄影、深度学习、图像理解、机器学习等前沿技术的研究，达到行业领先水平，持续突破技术上限；
2. 负责推动将相关先进技术在公司智能终端产品上应用落地。

","岗位要求：
1. 在计算机视觉、计算机图形学、计算成像/摄影和光学/光电信息处理(包括不限于光学器件，光电成像，全息处理，光学计算)，四个方向之一，有研究经验的博士或硕士；
2. 或在手机拍照、遥感成像、医学仪器成像等领域之一，有2年以上工作经验的博士，或6年以上工作经验的硕士；
3. 在下列研究方向中的一个或多个有深入的研究和应用经验：图像视频语义理解，人机交互，文本识别，多模态融合感知（包括视觉与其他模态融合理解、结合传感器信息的融合理解），深度学习模型对抗攻击等，包括上述技术在自然光照、遮挡等困难场景下的推广；
4. 至少熟悉一种以下编程语言：Matlab、Python、C/C++；发表过计算机视觉或机器学习相关的顶级会议高水平论文。


"
3,光电技术工程师,空间激光通信系统研发,25-35k,成都,经验不限-博士,经验不限-博士,某成都电子/半导体/集成电路公司,电子/半导体/集成电路-100-499人,成都,电子/半导体/集成电路-100-499人,,
4,光电技术工程师,空间激光通信链路传输研发,25-35k,成都,经验不限-博士,经验不限-博士,某成都电子/半导体/集成电路公司,电子/半导体/集成电路-100-499人,成都,电子/半导体/集成电路-100-499人,,
5,光电技术工程师,空间激光通信系统研发,18-24k,成都-双流区,经验不限-博士,经验不限-博士,天府兴隆湖实验室,电子/半导体/集成电路-100-499人,成都-双流区,电子/半导体/集成电路-100-499人,"工作职责：
1.高速空间激光通信系统研究工作，包括安全光通信、高速数字相干通信、激光通信组网技术等研究方向；
2.参与高速空间激光通信系统研发方案设计、项目申请、预先研发等工作；
3.负责高速空间激光通信实验系统的优化、仿真、实验光路搭建、实验测试及数据分析等工作。
","任职要求：
1.博士学位，通信工程、信号与信息处理、光电信息工程、光学、光学工程、光信息科学与技术等相关专业；
2.熟悉激光通信原理及技术，具有空间光通信、光纤通信、相干通信、混沌通信等相关方向研究经验者优先；
3.具备独立分析和解决问题能力，具有良好的团队合作精神和沟通能力，品行端正、有责任心。"
6,光电技术工程师,空间激光通信链路传输研发,25-35k,成都,经验不限-博士,经验不限-博士,某成都电子/半导体/集成电路公司,电子/半导体/集成电路-100-499人,成都,电子/半导体/集成电路-100-499人,"岗位职责：
1.从事空间激光通信链路传输研究，包括空间光场大气传输理论及仿真、大气湍流信道建模、空间激光通信链路仿真模型等方向；
2.协同完成空间激光通信链路模型的设计、测试及优化工作。

","任职要求：
1.博士学位，通信工程、信号与信息处理、光电信息工程、光学、光学工程、光信息科学与技术等相关专业；
2.熟悉光场调控技术或激光通信原理及技术；
3.熟悉并具备大气信道物理仿真模拟、空间激光通信链路建模及仿真等经验者优先；
4.具备独立分析和解决问题能力，具有良好的团队合作精神和沟通能力，品行端正、有责任心。
"
7,光电技术工程师,空间激光通信系统研发,25-35k·16薪,成都,经验不限-博士,经验不限-博士,某成都电子/半导体/集成电路公司,电子/半导体/集成电路-100-499人,成都,电子/半导体/集成电路-100-499人,,
8,光电技术工程师,空间激光通信系统研发,25-30k,成都,经验不限-博士,经验不限-博士,某成都电子/芯片/半导体公司,电子/半导体/集成电路-100-499人,成都,电子/半导体/集成电路-100-499人,"岗位职责：
1.高速空间激光通信系统研究工作，包括安全光通信、高速数字相干通信、激光通信组网技术等研究方向；
2.参与高速空间激光通信系统研发方案设计、项目申请、预先研发等工作；
3.负责高速空间激光通信实验系统的优化、仿真、实验光路搭建、实验测试及数据分析等工作。
","任职要求：
1.博士学位，通信工程、信号与信息处理、光电信息工程、光学、光学工程、光信息科学与技术等相关专业；
2.熟悉激光通信原理及技术，具有空间光通信、光纤通信、相干通信、混沌通信等相关方向研究经验者优先；
3.具备独立分析和解决问题能力，具有良好的团队合作精神和沟通能力，品行端正、有责任心。"
9,光电技术工程师,空间激光通信系统研发,25-35k,成都,经验不限-博士,经验不限-博士,某电子/半导体/集成电路公司,电子/半导体/集成电路-100-499人,成都,电子/半导体/集成电路-100-499人,"岗位职责：
1.高速空间激光通信系统研究工作，包括安全光通信、高速数字相干通信、激光通信组网技术等研究方向；
2.参与高速空间激光通信系统研发方案设计、项目申请、预先研发等工作；
3.负责高速空间激光通信实验系统的优化、仿真、实验光路搭建、实验测试及数据分析等工作。
","任职要求：
1.博士学位，通信工程、信号与信息处理、光电信息工程、光学、光学工程、光信息科学与技术等相关专业；
2.熟悉激光通信原理及技术，具有空间光通信、光纤通信、相干通信、混沌通信等相关方向研究经验者优先；
3.具备独立分析和解决问题能力，具有良好的团队合作精神和沟通能力，品行端正、有责任心。"
10,光电技术工程师,研发工程师,15-25k·14薪,深圳-光明区,3-5年-硕士,3-5年-硕士,航天科技,轨道交通/船舶设备-50-99人,深圳-光明区,轨道交通/船舶设备-50-99人,"岗位职责：

1．负责光模块产品研发管理工作；

2．负责组织技术人员和协调所需资源开展产品研发工作；

3．负责拟制产品设计研发计划，组织技术评审，审核产品设计文件；

4．负责与其他部门协作，完善及逐步优化产品性能；

5．负责领导组织关键技术攻关。

","岗位要求：年龄：40岁及以下

1、光电相关专业，硕士及以上学历；

2、三年以上水下探测光纤开发研制经验或光纤传感元器件研发相关经验或水下声波探测项目研发工作经验以及两年以上产品研发团队管理工作经验；

3、精通光电传感技术、现代光学测量技术、光电传感器应用技术、光电检测技术、光学信息处理技术和掌握信号与系统相关知识，熟悉数据建模仿真软件；

4、具有较好的领导力、协调沟通能力，团队合作精神，探索精神和挑战精神。

工作地点：深圳、北京


职位福利：国企福利、全额公积金、包住、餐补、交通补助、通讯补助、项目奖金、年终奖"
