序号,岗位类别,岗位名称,薪酬,地点,学历要求,经验要求,企业名称,企业规模,所属地域,所属行业,岗位职责,岗位要求
1,安全工程师,电力行业销售经理,10-15k,广州-天河区,3-5年-大专-电力-信息安全-大客户-区域销售-to G-IT/互联网/软件,3-5年-大专-电力-信息安全-大客户-区域销售-to G-IT/互联网/软件,广州市卓欣信息技术有限公司,网络/信息安全-融资未公开-100-499人,广州-天河区,网络/信息安全-融资未公开-100-499人,"岗位职责:
1、负责南方电网、国网等客户网络安全、网络存储设备、IT综合解决方案、IT专业运维服务的销售工作，各行业大客户的开拓；
2、负责目标区域市场信息收集及项目机会的挖掘、客户关系建立、商务拜访及商务沟通；
3、负责客户项目跟踪、谈判、招投标、项目落单签约及回款；
4、负责完成公司下达的销售、市场及回款目标；
5、负责行业客户项目全过程管理，保障项目按时按质完成交付验收。

","任职要求：
1、大专或以上学历，计算机、通信、电子、市场销售、管理类相关专业；
2、热爱销售工作，具有三年以上IT行业销售工作经验；
3、性格外向、具有良好的沟通协调及解决问题的能力；
4、具有较强的责任心、执行力、服务意识，能承受较强的工作压力；
5、具备独立开展工作及管理市场的能力；
6、熟悉计算机网络安全(信息安全)或系统集成或IT运维或软件或IT相关行业经验，有相关销售经验者优先考虑；
7、具有一定数量的IT项目成功案例、IT项目运作经验者;
8、有电力行业客户资源；
9、能适应区域出差。
"
2,安全工程师,IT经理,15-25k·13薪,上海-闵行区,5-10年-本科-IT/信息化领域-商业信息化,5-10年-本科-IT/信息化领域-商业信息化,雅马哈发动机(厦门)信息系统有限公司上海分公司,计算机软件-融资未公开-100-499人,上海-闵行区,计算机软件-融资未公开-100-499人,"岗位责任：
1、负责企业IT的整体规划设计，包含IT中长期规划、年度计划以及年度预算的制定，并根据业务的发展要求进行持续的优化调整；
2、维护、优化公司IT制度，持续改进IT服务流程，提高技术能力，快速相应各类IT问题及故障，确保业务的可持续性及运营稳定性；
3、负责网络安全相关的文档、手册、流程编写整理；参与制定和改进应急预案、策略和流程，提高服务运行质量；
4、负责IT团队的管理、培训，与合作伙伴、供应商等保持良好的沟通；
5、参与IT项目的维护、设计以及实施，并给出专业的指导意见和方案。

","任职资格：
1、本科学历，5年以上IT管理经验。
2、日语熟练，有N2以上认证者优先。
3、精通IT基础设施，了解业务系统，制造业信息化经验者优先。
4、良好的人际交往和沟通能力，较强的学习能力。"
3,安全工程师,IT经理,15-25k,上海-嘉定区,5-10年-本科-IT经理-二次开发-系统整核,5-10年-本科-IT经理-二次开发-系统整核,信义置业(上海)有限公司,房地产开发经营-50-99人,上海-嘉定区,房地产开发经营-50-99人,,"岗位要求：
1、	负责企业负责IT信息化建设整体规划和管理;及时收集和响应各部门IT需求，进行评估、分析、快速制订IT解决方案，积极推动公司信息化建设。
2、	规划集团系统整核、搭建、系统间打通融合。
3、	负责网络安全优化，熟练华为，思科等常用核心交换机，防火墙安装调试;服务器软硬件调试。
4、 负责部门组织建设、部门工作的管理与分配、组织技能培训。
5、 负责企业整体员工IT技能的提升。
6、	其他事项：完成上级交给的其他日常事务性工作。
岗位职责：
1、大学本科及以上学历；计算机相关专业。
2、5年以上IT管理工作经验， 参与过企业信息化建设，对企业信息运营管理有深刻理解，具备丰富的流程管理技能，精通WINDOWS平台服务器管理及网络管理，熟悉系统实施流程，清晰程序的后台逻辑。
3、熟悉各类ERP、CRM、OA、PLM系统的应用、系统结构及多种系统实际管理经验。
4、熟悉泛微OA。能够使用泛微OA流程引擎、表单建模、移动建模等OA功能，快速进行流程及相关的应用系统搭建，并有接口开发经验。
5、熟悉JAVA语言，具备一种或以上的数据库应用经验。
6、精通IBM、DELL、HP、华为、思科等主流品牌的服务器、存储设备、路由、三层交换机、UPS的配置及应用。
能接受前期周一至周五在无锡工作，后期能接受上海及长三角区域内工作。"
4,安全工程师,网络安全专家,50-80k,成都-武侯区,10年以上-硕士,10年以上-硕士,某成都大型通信设备公司,通信设备-融资未公开-10000人以上,成都-武侯区,通信设备-融资未公开-10000人以上,"岗位职责：
1、负责公司整体网络安全体系规划建设，包含平台规划、技术规划、制度规划及人才发展规划；
2、负责网络安全技术手段建设、网络安全范围、网络安全功能、网络安全数据流周期进行深入研究，并输出网络安全建设方案；
3、负责网络安全产品体系构建，针对细分领域客户输出定制化解决方案并指导重点项目落地；
4、负责网络安全产品封装，构建网络安全产品逻辑；
5、负责网络安全前沿技术研究，带领安全创新中心制定网络安全安全规则。带领安全创新推广中心，进行安全前沿技术研究，安全标准试点落地，使公司整体安全技术水平达到川渝经济圈应有水平（国家四大经济中心之一）；
6、负责国家/部委/集团公司网络安全重大项目科技攻关、基于运营商禀赋的网络安全核心能力研发与应用、5G网业融合安全技术研究、开展智慧中台安全领域能力建设、网络安全产业引领与对外赋能研究与应用、制定5G+AICDE各领域安全手段与管理的战略规划。

","任职要求：
1、统招全日制硕士以上学历，计算机、软件、通信相关专业。10年以上相关工作经验，5年以上大型企业网络安全治理体系规划、建设、咨询相关经验，具备运营商、大型央企、金融行业网络安全相关工作经验优先考虑；
2、具备网络安全咨询和网络安全技术解决方案规划能力，具备扎实的网络安全理论水平与科研能力，熟悉国家网络安全法律法规及行业发展趋势；
3、具备从0到1的产品构建能力及产品体系设计经验；具有较强目标导向，执行力、学习能力强，具备较强的沟通能力、组织协调能力及管理能力。
4、具有较高科技创新能力；主导过网络安全产品体系规划、研发和推广工作，具有网络安全产品品牌打造、行业推广和项目落地经验；
5、主持过网络安全领域关键技术攻关，科技创新成果获得国家或省部级科学技术奖（署名排名前三），其中省部级指省科学技术奖或一级学会科学技术奖，同等条件下优先考虑"
5,安全工程师,网络安全专家,50-80k·13薪,北京,10年以上-硕士,10年以上-硕士,某北京大型计算机软件公司,计算机软件-战略融资-2000-5000人,北京,计算机软件-战略融资-2000-5000人,"岗位职责：
1、负责公司整体网络安全体系规划建设，包含平台规划、技术规划、制度规划及人才发展规划；
2、负责网络安全技术手段建设、网络安全范围、网络安全功能、网络安全数据流周期进行深入研究，并输出网络安全建设方案；
3、负责网络安全产品体系构建，针对细分领域客户输出定制化解决方案并指导重点项目落地；
4、负责网络安全产品封装，构建网络安全产品逻辑；
5、负责网络安全前沿技术研究，安全创新中心制定网络安全安全规则。安全创新推广中心，进行安全技术研究，安全标准试点落地，使公司整体安全技术水平达到川渝经济圈应有水平（国家四大经济中心之一）；
6、负责国家/部委/集团公司网络安全重大项目科技攻关、基于运营商禀赋的网络安全核心能力研发与应用、5G网业融合安全技术研究、开展智慧中台安全领域能力建设、网络安全产业与对外赋能研究与应用、制定5G+AICDE各领域安全手段与管理的战略规划。

","任职要求：
1、统招全日制硕士以上学历，计算机、软件、通信相关专业。10年以上相关工作经验，5年以上大型企业网络安全治理体系规划、建设、咨询相关经验，具备运营商、大型央企、金融行业网络安全相关工作经验优先考虑；
2、具备网络安全咨询和网络安全技术解决方案规划能力，具备扎实的网络安全理论水平与科研能力，熟悉国家网络安全法律法规及行业发展趋势；
3、具备从0到1的产品构建能力及产品体系设计经验；具有较强目标导向，执行力、学习能力强，具备较强的沟通能力、组织协调能力及管理能力。
4、具有较高科技创新能力；主导过网络安全产品体系规划、研发和推广工作，具有网络安全产品品牌打造、行业推广和项目落地经验；
5、主持过网络安全领域关键技术攻关，科技创新成果获得国家或省部级科学技术奖（署名排名前三），其中省部级指省科学技术奖或一级学会科学技术奖，同等条件下优先考虑。
工作地点在成都，能接受的可以投递安排


面试流程：3轮"
6,安全工程师,网络安全工程师,50-80k,北京,10年以上-统招本科-网络安全运维-安全运维-网络运维-网络建设-C++-Windows-Linux-Unix,10年以上-统招本科-网络安全运维-安全运维-网络运维-网络建设-C++-Windows-Linux-Unix,某北京大型电气机械/器材公司,电气机械/器材-融资未公开-500-999人,北京,电气机械/器材-融资未公开-500-999人,"工作职责
﻿1、负责网络安全产品线规划，以及网络安全产品全生命周期管理； 2、制定技术标准，制定网络安全规范及作业指导书；3、网络安全产品架构与工程技术方案设计； 4、负责网络安全技术发展路线规划，网络安全团队建设、能力培养； 5、负责新技术的研究、技术积累与关键技术验证； 6、 负责编制科研申请方案； 7、负责解决科研及工程出现的疑难问题

","任职要求
﻿1、10年以上工控网络安全产品开发及架构设计经验； 2、具有丰富的编程经验，精通至少一种语言，如C/C++，JAVA，Python； 3、 精通网络安全攻防技术与相关工具，掌握常见的工控系统安全漏洞及原理； 4、 精通安全事件应急处置，掌握Linux/Windows系统原理、安全机制、各类安全日志，掌握病毒木马的原理和行为，并能对其做技术分析和逆向； 5、 熟悉工控网络安全标准、法规，及解决方案； 6、熟悉工控网络安全产品架构，熟悉所有工控网络安全产品的功能及应用场景； 7、具有工控网络安全技术方案解决能力； 8、熟悉网络安全测评方法，能够独立完成网络安全测评工作； 9、硕士研究生以上学历，网络安全相关专业优先； 10、具有良好的职业道德，高度责任感，有较强的沟通抗压能力，优秀的团队合作精神和协调管理能力。



计算机相关专业，有过软件开发经历，在网络安全公司工作到技术总监职位



解决什么问题：解决网络技术方面的疑难问题。编制网络安全方面的技术方案，编制网络安全方面的科研申请。编制相关标准。能够对实验室未来技术发展方向提出建议"
7,安全工程师,网络安全工程师,50-80k,北京-房山区,5-10年-硕士,5-10年-硕士,某北京大型电气机械/器材公司,电气机械/器材-融资未公开-500-999人,北京-房山区,电气机械/器材-融资未公开-500-999人,"工作职责
﻿1、负责网络安全产品线规划，以及网络安全产品全生命周期管理； 2、制定技术标准，制定网络安全规范及作业指导书；3、网络安全产品架构与工程技术方案设计； 4、负责网络安全技术发展路线规划，网络安全团队建设、能力培养； 5、负责新技术的研究、技术积累与关键技术验证； 6、 负责编制科研申请方案； 7、负责解决科研及工程出现的疑难问题

","任职要求
﻿1、10年以上工控网络安全产品开发及架构设计经验； 2、具有丰富的编程经验，精通至少一种语言，如C/C++，JAVA，Python； 3、 精通网络安全攻防技术与相关工具，掌握常见的工控系统安全漏洞及原理； 4、 精通安全事件应急处置，掌握Linux/Windows系统原理、安全机制、各类安全日志，掌握病毒木马的原理和行为，并能对其做技术分析和逆向； 5、 熟悉工控网络安全标准、法规，及解决方案； 6、熟悉工控网络安全产品架构，熟悉所有工控网络安全产品的功能及应用场景； 7、具有工控网络安全技术方案解决能力； 8、熟悉网络安全测评方法，能够独立完成网络安全测评工作； 9、硕士研究生以上学历，网络安全相关专业优先； 10、具有良好的职业道德，高度责任感，有较强的沟通抗压能力，优秀的团队合作精神和协调管理能力。



计算机相关专业，有过软件开发经历，在网络安全公司工作到技术总监职位



解决什么问题：解决网络技术方面的疑难问题。编制网络安全方面的技术方案，编制网络安全方面的科研申请。编制相关标准。能够对实验室未来技术发展方向提出建议

工作地址
北京-北京-房山区-窦店"
8,安全工程师,车载网络安全工程师,20-45k,深圳,3-5年-本科-ISO 2143-车载网络安全-SAE J306-UNECE WP-TARA分析,3-5年-本科-ISO 2143-车载网络安全-SAE J306-UNECE WP-TARA分析,豪恩集团,电子/半导体/集成电路-1000-2000人,深圳,电子/半导体/集成电路-1000-2000人,"岗位职责：
1、负责建立网络安全体系、开发流程制度建设，提升人员网络安全能力；
2、负责指导有网络安全需求项目开发和测试；
3、执行项目TARA分析、网络安全目标、网络安全概念和网络安全需求等网络安全活动；
4、建立网络安全开发和测试工具链；
5、负责与客户沟通网络安全需求、评估技术解决方案和网络安全相关技术审核；
6、跟进国内外汽车行业网络安全法规动态，解读法规要求。

","任职资格：
1、2年及以上汽车网络安全经验，3年及以上汽车电子产品开发经验；
2、熟悉ISO 21434、SAE J3061、UNECE WP29 R155等汽车网络安全标准、法规要求；
3、熟悉网络安全TARA分析、漏洞分析、漏洞测试、渗透测试等工作流程和方法；
4、负责过网络安全认证或具备汽车网络安全解决方案知识者优先；
5、有汽车网络安全项目开发和测试实践经验者优先。"
9,安全工程师,汽车网络安全工程师,18-45k,深圳,5-10年-统招本科-汽车网络安全-ISO21434-SAEJ3061-UNECE-WP29-R155-汽车网络安全标准-TARA分析-网络安全认证-英语,5-10年-统招本科-汽车网络安全-ISO21434-SAEJ3061-UNECE-WP29-R155-汽车网络安全标准-TARA分析-网络安全认证-英语,豪恩集团,电子/半导体/集成电路-1000-2000人,深圳,电子/半导体/集成电路-1000-2000人,"汽车网络安全工程师
工作职责：
1、负责建立网络安全体系、开发流程制度建设，提升人员网络安全能力；
2、负责指导有网络安全需求项目开发和测试；
3、执行项目TARA分析、网络安全目标、网络安全概念和网络安全需求等网络安全活动；
4、建立网络安全开发和测试工具链；
5、负责与客户沟通网络安全需求、评估技术解决方案和网络安全相关技术审核；
6、跟进国内外汽车行业网络安全法规动态，解读法规要求。
","任职资格：
1、3年及以上汽车网络安全经验，5年及以上汽车电子产品开发经验；
2、熟悉ISO 21434、SAE J3061、UNECE WP29 R155等汽车网络安全标准、法规要求；
3、熟悉网络安全TARA分析、漏洞分析、漏洞测试、渗透测试等工作流程和方法；
4、负责过网络安全认证或具备汽车网络安全解决方案知识者优先；
5、有汽车网络安全项目开发和测试实践经验者优先；
6、英语可作为工作语言；
"
10,安全工程师,信息化工程师,8-10k,南京-浦口区,3-5年-本科-安全运维-设备运维-机房运维-网络建设-网络安全运维-IT/信息化领域-技术支持-网络运维-ERP系统-路由器,3-5年-本科-安全运维-设备运维-机房运维-网络建设-网络安全运维-IT/信息化领域-技术支持-网络运维-ERP系统-路由器,富岛科技,计算机软件-100-499人,南京-浦口区,计算机软件-100-499人,"岗位职责：
1.公司OA、ERP、PLM等信息平台的日常维护，根据公司业务需求细化，对各信息平台进行调整更新。
2.IT机房管理运维，包括机房环境设备，服务器，网络设备，存储设备，备份设备等正常运行及维护；
3.公司计算机软硬件、信息管理、应用系统、数据库以及办公设备的日常维护、故障处理和持续优化；
4.协助公司各部门及同事解决各类信息设备问题，包括电脑、打印机，会议和电话系统等IT相关设备的硬件维护和技术支持。
5.办公设备的日常维护及管理，技术档案建设及维护。
6.病毒的查杀，维护网络系统安全，公司网络安全体系建设，系统安全评估与加固。

","任职要求：
1.计算机或IT相关专业，本科及以上学历，具有2年以上同岗位经验；
2.熟悉SQLSERVER、Mysql维护和基本命令；
3.熟悉电脑周边设备（服务器、路由器、打印机、投影仪、电话等）等设备管理，以及网络平台的运行监控及维护；
4.熟悉和掌握弱电系统的维护和安装，对考勤、消费、监控、门禁、机房等弱电系统了解
5.熟悉防火墙、三层交换机、VPN、AC、路由器、交换机等网络设备的设置与管理
6.有较强的故障分析和排错能力，针对网络、系统、软件、硬件故障有较为丰富的经验，熟悉各种操作系统，Windows，Linux以及常见的故障和处理方法；
7.有致远OA、用友U8使用维护经验优先"
