序号,岗位类别,岗位名称,薪酬,地点,学历要求,经验要求,企业名称,企业规模,所属地域,所属行业,岗位职责,岗位要求
1,导航技术工程师,Senior Simulation Development,薪资面议,北京-朝阳区,3-5年-本科-仿真软件-SIL/HIL测试,3-5年-本科-仿真软件-SIL/HIL测试,德咨技术管理咨询(上海)有限公司,专业技术服务-50-99人,北京-朝阳区,专业技术服务-50-99人,,
2,导航技术工程师,Senior Simulation Development,薪资面议,上海-黄浦区,3-5年-本科-仿真软件-SIL/HIL测试,3-5年-本科-仿真软件-SIL/HIL测试,德咨技术管理咨询(上海)有限公司,专业技术服务-50-99人,上海-黄浦区,专业技术服务-50-99人,,
3,导航技术工程师,slam算法工程师,25-40k·14薪,武汉-武昌区,经验不限-硕士-SLAM算法-C++-C语言,经验不限-硕士-SLAM算法-C++-C语言,北京英斯派克科技有限公司,电气机械/器材-融资未公开-1-49人,武汉-武昌区,电气机械/器材-融资未公开-1-49人,"职责描述：
1. 视觉SLAM：负责以视觉为主, 里程计、IMU等传感器信息融合的SLAM算法研究 
2. 激光SLAM：负责以三维激光雷达为主, 相机、IMU等传感器信息融合的SLAM算法研究； 
3. 调研SLAM行业的发展现状和趋势，负责新技术的引入和技术预研 
4. 负责各产品运行中出现的SLAM相关问题的定位、分析和解决 
5. 负责相关算法的测试、优化和产品化等相关工作；



","任职要求：
1. 硕士及以上学历，计算机、通信、自动控制、电子信息等相关专业；条件优异者，学历可放宽至本科； 
2. 有较强的C++/C语言编程能力，熟悉常用的数据结构和算法； 
3. 了解掌握SLAM的基础理论和算法，熟悉视觉/激光领域state of the art算法，熟悉SLAM常用传感器的硬件特性 
加分项： 
1. 熟悉SLAM的基础理论和算法，熟悉开源三维激光SLAM框架，如Loam等； 
2. 熟悉SLAM的基础理论和算法，熟悉开源的视觉及视觉融合SLAM框架，如ORBSLAM，VINS等 
3. 熟悉linux开发环境，有ROS开发经验优先； 
4. 熟悉非线性优化，多视图几何，传感器融合等原理优先；
附加信息：
候选人加分项：熟悉SLAM、三维激光SLAM框架、ROS开发等
工作时间：周末双休
上下班时间：9:00-18:00
年终奖：2~6薪
"
4,导航技术工程师,初级/高级/资深SLAM算法工程师,30-60k,上海-浦东新区,经验不限-本科-SLAM算法,经验不限-本科-SLAM算法,摩尔线程智能科技(上海)有限责任公司,培训服务-1000-2000人,上海-浦东新区,培训服务-1000-2000人,"职位描述：
1. 视觉SLAM：负责以视觉为主, 里程计、IMU等传感器信息融合的SLAM算法研究
2. 激光SLAM：负责以二维/三维激光雷达为主, 相机、IMU等传感器信息融合的SLAM算法研究；
3.毫米波SLAM：负责以毫米波雷达为主, 相机、IMU等传感器信息融合的SLAM算法研究；
4. 负责各产品运行中出现的SLAM相关问题的定位、分析和解决
5. 负责相关算法的测试、优化和产品化等相关工作；

","任职要求：
1. 硕士及以上学历，计算机、通信、自动控制、电子信息等相关专业；条件优异者，学历可放宽至本科；
2. 有较强的C++/C语言编程能力，熟悉常用的数据结构和算法；
3. 了解掌握SLAM的基础理论和算法，熟悉视觉/激光领域state of the art算法，熟悉SLAM常用传感器的硬件特性
4. （加分项）熟悉SLAM的基础理论和算法，熟悉开源三维激光SLAM框架，如Loam等；
5. （加分项）熟悉SLAM的基础理论和算法，熟悉开源的视觉及视觉融合SLAM框架，如ORBSLAM2/3，VINS等
6. （加分项）熟悉linux开发环境，有ROS开发经验优先；
7. （加分项）熟悉非线性优化，多视图几何，传感器融合等原理优先；
"
5,导航技术工程师,激光导航SLAM开发工程师,25-30k,佛山-南海区,3-5年-硕士-c++,3-5年-硕士-c++,清研瀚高科技(天津)有限公司,机械/设备-1-49人,佛山-南海区,机械/设备-1-49人,"职责描述：
1.完成SLAM AGV的激光导航架构设计，能够Coding核心代码；
2.根据资源分配开发任务，建设SLAM开发团队，完成研发任务；
3.熟悉机器人产品开发基本流程，闭环软件研发问题；
4.参与产品研发各个节点设计评估，作为项目评审委员会的一员对产品负责；                                                  5.按时完成上级领导交办的其他任务。

","任职要求：
1.硕士及以上学历，计算机、电子信息等相关专业，具有5年以上SLAM 产品开发经验；
2.主要精通2D、3D激光SLAM 技术，熟悉其他视觉SLAM技术；
3.精通回环检测，激光传感器数据，激光/视觉里程计，后端滤波算法（partial filter, 卡尔曼滤波算法），建图模块及算法，定位模块及算法；
4.精通SLAM 代表算法VINS-MONO SLAM，ORB-SLAM2 RGBD SLAM，MaskFusion Semantic SLAM, LOAM Laser SLAM；
5.熟悉VS平台或者ubuntu平台下的c++开发；                 
6.可适应短期出差。

工作地点：广东佛山季华实验室
"
6,导航技术工程师,激光导航SLAM开发高级工程师,20-25k,佛山,经验不限-硕士-激光导航-c++,经验不限-硕士-激光导航-c++,清研瀚高科技(天津)有限公司,机械/设备-1-49人,佛山,机械/设备-1-49人,"岗位职责：
1.完成SLAM AGV的激光导航架构设计，能够Coding核心代码；
2.根据资源分配开发任务，建设SLAM开发团队，完成研发任务；
3.熟悉机器人产品开发基本流程，闭环软件研发问题；
4.参与产品研发各个节点设计评估，作为项目评审委员会的一员对产品负责。
","任职资格：
1.硕士及以上学历，计算机、电子信息等相关专业，具有5年以上SLAM 产品开发经验；
2.主要精通2D、3D激光SLAM 技术，熟悉其他视觉SLAM技术；
3.精通回环检测，激光传感器数据，激光/视觉里程计，后端滤波算法（partial filter, 卡尔曼滤波算法），建图模块及算法，定位模块及算法；
4.精通SLAM 代表算法VINS-MONO SLAM，ORB-SLAM2 RGBD SLAM，MaskFusion Semantic SLAM, LOAM Laser SLAM；
5.熟悉VS平台或者ubuntu平台下的c++开发。                           6.可适应短期出差。"
7,导航技术工程师,高级SLAM算法工程师,20-40k·14薪,武汉,3-5年-本科-算法优化-优化算法-SLAM算法-SA算法-算法研究,3-5年-本科-算法优化-优化算法-SLAM算法-SA算法-算法研究,某上海知名公司,电子/半导体/集成电路-已上市-1000-2000人,武汉,电子/半导体/集成电路-已上市-1000-2000人,"工作职责:
1、SLAM研发团队PL，整体负责多源融合SLAM的产品研发；
2、对接市场需求，组织调研分析竞品指标，制定产品技术研发路线与里程碑；
3、负责核心关键算法与整体框架优化，提升SLAM产品在精度、效率以及场景适应能力的竞争力；
4、负责开发任务的分解以及进度的把控，总体负责产品研发推进；
5、整体负责开发资源的合理配置，把控产品关键技术，保障产品的市场竞争力。

","任职资格:
1、年龄30~35岁，具有优秀从业经验者可适当放宽，具有一定的SLAM算法或产品研发团队的管理经验；
2、熟练掌握Linux，ROS系统，理解ROS的通信机制以及开发过程；
3、对GNSS、激光、视觉、IMU等多源传感器融合的SLAM具有3年以上相关开发经验，理解多源融合SLAM的方法原理；
4、熟练掌握多源融合因子图或EKF等核心算法，并具备不同场景下的融合算法优化能力；
5、具有丰富的SLAM系统工程化经验，熟悉SLAM系统的硬软件架构，具备在不同架构上的算法设计与工程优化能力；具有Cartographer、LIO-SAM、FAST-LIO、LOAM等开源框架的调试与优化经验，熟悉SLAM系统的里程计与后端优化关键前沿算法。"
8,导航技术工程师,图像/SLAM导航算法工程师,15-30k,武汉,3-5年-统招本科-导航算法-目标检测-图像处理-激光雷达-SLAM算法-图像融合-C语言-C++-算法优化-传感器算法,3-5年-统招本科-导航算法-目标检测-图像处理-激光雷达-SLAM算法-图像融合-C语言-C++-算法优化-传感器算法,某知名计算机软件公司,计算机软件-A轮-100-499人,武汉,计算机软件-A轮-100-499人,"
图像算法工程师
岗位职责：
1、负责图像矫正、拼接融合、目标检测、跟踪和识别等相关图像算法的研究和实现，并应用到公司项目中；
2、负责人工智能、机器学习模型的研究、算法开发和试验；
3、跟踪国内外前沿图像处理算法发展方向和相应技术；
4、配合移植算法到嵌入式产品。
职位要求：
1、研究生以上学历，三年以上图像处理算法工作经验，应用数学、计算机软件，模式识别等相关专业优先；
2、学习过数据结构、图像处理、模式识别、机器学习等基础课，有较强的数学功底；
3、精通C/C++，熟悉VC++/MATLAB/opencv等，有深厚的数学功底和很强的算法实现能力，具有良好的代码质量和文档习惯；
4、英语阅读能力强；


SLAM导航算法工程师
工作职责:
1、机器人在室内及室外环境中的地图构建和SLAM算法；
2、使用的传感器包括激光雷达、深度相机、IMU等多传感器融合算法研发；
3、机器人的导航定位、路径规划、地图重建算法；
4、负责SLAM算法的优化，移植和产品化；
5、从事视觉SFM，SLAM，多传感器融合等前沿算法研究和应用开发。
","任职资格:
1、研究生及以上学历，5年以上工作经验或3年以上slam相关经验，计算机、数学、电子通信类相关专业，扎实的数学功底；
2、具备基于二维、三维激光点云的SLAM研发经验；
3、熟悉常用开源激光SLAM项目如：Cartographer、Gmapping等。
4、熟悉ROS，有扎实的SLAM、非线性优化、概率滤波理论基础；
5、具有多传感器融合的机器人slam导航相关经验者优先；
6、能够独立完成基于ROS的机器人控制软件设计者优先；"
9,导航技术工程师,slam定位算法总监-智能物流解决方案供应商,40-70k·13薪,深圳-南山区,5-10年-硕士-SLAM算法-SA算法-算法测试-定位算法-算法研究-算法开发-AS3,5-10年-硕士-SLAM算法-SA算法-算法测试-定位算法-算法研究-算法开发-AS3,Michael Page,人力资源服务-5000-10000人,深圳-南山区,人力资源服务-5000-10000人,"岗位职责：
1、SLAM算法团队管理，团队建设； 
2、设计实现基于多传感器的激光SLAM定位技术，解决大场景，长走廊等环境下重定位，闭环检测，后端优化等课题，解决高动态环境下的lifelong SLAM问题；
3、参与（单、多线）激光SLAM整体解决方案的设计，相关算法研究、仿真、程序开发和测试；
4、维护现有的激光建图和定位算法，有效解决项目出现的定位问题。
 
","任职要求： 
1、计算机、数学、机器人、自动化及相关专业硕士及以上学历，有1年以上团队管理经验； 
2、熟悉Cartographer Karto等常见单线SLAM算法；
3、了解3DSLAM算法，如LOAM, HDL SLAM 等； 
4、3年以上从事位姿估计，定位，概率滤波，SLAM ，和非线性优化工作经验；
5、熟悉C++ 编程，OpenCV ，Eigen 等开源库； 
6、具有较强的快速学习，分析能力和创新意识，具有良好的团队合作精神和沟通能力； 
7、 在自动驾驶，SLAM领域学术论文发表优先考虑； 
8、思路清晰，抗压能力强 其他要求：为人正直、诚实；善于沟通、观察敏锐；工作认真负责，严谨细致，有良好的团队合作精神。"
10,导航技术工程师,激光slam专家,25-50k·13薪,深圳,5-10年-硕士-模式识别-图像处理,5-10年-硕士-模式识别-图像处理,某深圳大型电子/半导体/集成电路公司,电子/半导体/集成电路-2000-5000人,深圳,电子/半导体/集成电路-2000-5000人,"1、负责基于激光雷达SLAM算法开发；
2、负责基于激光雷达定位算法开发；
3、负责基于激光雷达的SLAM与定位算法产品化；
4、负责学术界最新的基于激光雷达的SLAM算法与定位算法跟踪与应用；
5、为前沿激光SLAM技术在公司产品落地负责。

","任职要求：
1、全日制硕士及以上学历，博士优先，电子信息、计算机视觉、模式识别、图像处理、计算机相关专业；
2、熟悉常用的状态估计滤波器（扩展卡尔曼滤波器、粒子滤波器）；
3、熟悉常用的优化算法（高斯牛顿、梯度下降等）；
4、熟悉常用的激光SLAM算法（EKF-SLAM,PF-SLAM，Graph-SLAM）；
5、熟悉激光帧/激光点云数据处理；
6、熟悉Linux系统下的开发；
7、熟练使用C/C++编程；
8、具备良好的沟通能力和解决实际问题的能力。

激光slam（3年 
视觉slam（5年）
视觉slam专家 激光slam专家（8年，30-50w）
运动规划（3年 
"
