序号,岗位类别,岗位名称,薪酬,地点,学历要求,经验要求,企业名称,企业规模,所属地域,所属行业,岗位职责,岗位要求
1,嵌入式软件工程师,FPGA工程师,15-30k·13薪,苏州-工业园区,3-5年-本科-FPGA开发-USB-LVDS-IIC-SPI-UART-DDR-FPGA,3-5年-本科-FPGA开发-USB-LVDS-IIC-SPI-UART-DDR-FPGA,以诺康医疗,医疗器械-500-999人,苏州-工业园区,医疗器械-500-999人,"岗位职责：
1、负责项目 FPGA 代码的编写、调试、验证;
2、与项目经理、硬件主管沟通了解项目需求，确定FPGA模块的具体功能需求；
3、根据 FPGA模块功能需求，合理设计 FPGA 框架，并实现代码编写、测试、仿真验证；
4、协同硬件、软件工程师进行整机调试；
5、编写相关的 FPGA设计文档、调试记录与报告；
6、整理相关的 FPGA 功能模块，实现公司技术平台内共享。

","岗位要求：
1、 全日制本科以上学历，电子/通信/自动化/仪器仪表/信号处理类专业；
2、具有3年以上专职的 FPGA设计经验；
3、具有图像系统构架或图像采集预处理相关工作经验者更佳；
4、熟悉matlab或opencv 图像仿真平台者更佳；
5、扎实的模电、数电基础知识及数学基础扎实,孰悉各类算法的 FPGA 实现；
6、熟练掌握 verilog，熟悉altera/XIILNX 等厂家的产品以及 IP 核；
7、熟悉各类总线(DDR、SPI、UART、I2C、LVDS、USB 等)协议；
8、掌握 FPGA 资源及时序优化，熟练应用数字电路仿真测试工具。"
2,嵌入式软件工程师,FPGA工程师,18-23k·14薪,长沙-岳麓区,3-5年-统招本科-Xilinx-Verilog-Altera,3-5年-统招本科-Xilinx-Verilog-Altera,拜安科技,通信设备-100-499人,长沙-岳麓区,通信设备-100-499人,"岗位职责：
1.使用Xilinx、Altera等主流FPGA器件以及环境进行项目开发。
2.负责产品的FPGA功能需求开发、原理设计、代码编写、测试文档编写、设备调试。
3.负责与硬件人员、上位机软件人员、嵌入式单片机开发人员、测试人员等功能对接与测试。

","任职资格：
1.本科及以上学历，硕士优先，3年及其以上工作经历；通信、电子、计算机等相关专业优先。
2.有从事通信行业尤其是光纤通信行业者优先。
3.熟练掌握Verilog语言。
4.CET-4及其以上英文阅读能力；具备较强的与人工作沟通能力。
5.优秀的文档撰写能力。"
3,嵌入式软件工程师,高级硬件工程师,40-60k,苏州-工业园区,5-10年-本科-硬件设计-Layout设计-硬件测试-PCB设计-ARM-单片机-软件开发-电子元器件,5-10年-本科-硬件设计-Layout设计-硬件测试-PCB设计-ARM-单片机-软件开发-电子元器件,以诺康医疗,医疗器械-500-999人,苏州-工业园区,医疗器械-500-999人,"职责描述：
1、负责医疗类设备底层软件/固件定义、开发，包括电路原理图、PCB Layout、系统调试、系统测试和验证工作；

2、负责解决研发和测试的硬件问题；

3、负责从样机到产品量产转产、测试工装制作、可靠性设计及成本控制；

4、参与团队产品规划设计工作，带领团队与其他组联机调试；

5、负责相关文档编写和归档。


","任职要求：
1、计算机、电子、通信或信息等相关专业，统招本科及以上学历，5年以上经验；

2、有独立设计系统的项目经验；

3、有扎实的专业理论基础和良好的电路设计能力，熟悉常用的电子元器件；

4、熟悉PCB电路设计，能够独立设计电路；

5、熟悉底层硬件系统，不限于单片机和ARM，熟悉FPGA开发；

6、掌握电磁兼容及可靠性设计，有实际的解决经验，熟悉安规（如CCC/UL/TUV/CE）及行业相关标准；

7、具有较强的团队意识与良好的沟通能力，较强的学习能力以及快速解决问题的能力。"
4,嵌入式软件工程师,senior FPGA Engineer,25-40k·15薪,东莞-松山湖,5-10年-统招本科-逻辑设计-硬件设计-Xilinx-CPLD-FPGA-Verilog-ISE-R语言-SystemVerilog,5-10年-统招本科-逻辑设计-硬件设计-Xilinx-CPLD-FPGA-Verilog-ISE-R语言-SystemVerilog,天弘(东莞)科技有限公司,电子/半导体/集成电路-1000-2000人,东莞-松山湖,电子/半导体/集成电路-1000-2000人,"Job Overview:
• Be a team member to develop FPGA for communication and Storage products. Have the capability to deliver logic design independence.
• Participate in the whole FPGA development flow, including specification, coding, simulation, physical implementation and onboard debugging.
• Communicate and cooperate cross functional teams (hardware, software, etc.) to ensure robust product development
Major Duties & Responsibilities:
1.	FPGA/CPLD function bring up and verification
2.	FPGA/CPLD function coding
3.	FPGA/CPLD system chip selection and solution feasibility analysis
4.	FPGA/CPLD schematic and PCB design review
5.	FPGA/CPLD system function spec
6.	FPGA/CPLD function simulation

","任职要求：
Bachelor's Degree and above, Electrical Engineering or equivalent, 4 years+ working experience,

General Skills, Knowledge, Competencies:
• FPGA design processes including programming, constraints edit, functional verification, logic synthesis, floorplan and route, timing verification
• Hardware description language VHDL, Verilog HDL, System Verilog
• Development tools including Xilinx ISE, Altera Quartus
• Simulation tools of ModelSim SE
• Synthesis tools of Synplicity Synplify
• BS/EE with 5+ years of FPGA/ASIC development experience.
• Solid logic design knowledge and skills, hardware knowledge is a plus.
• Solid Verilog RTL and test bench coding skills, good coding style.
• Familiar with at least one mainstream FPGA and development platform, Xilinx/Altera/Lattice.
• Self-motivated, team oriented
• Good documentation habit
• Able to write and communicate in English
• Cares about their work, can be counted to meet their commitments.
• Builds trust-based relationships inside and outside the organization
• Strong analytical, problem solving skills

工作概述：
• 成为开发用于通信和存储产品的FPGA 的团队成员。有能力提供逻辑设计独立性。
• 参与整个FPGA 开发流程，包括规范、编码、仿真、物理实现和板载调试。
• 与跨职能团队（硬件、软件等）进行沟通和合作，以确保稳健的产品开发
主要职责：
1. FPGA/CPLD 功能的调用和验证
2.FPGA/CPLD功能编码
3、FPGA/CPLD系统芯片选择及方案可行性分析
4.FPGA/CPLD原理图和PCB设计评审
5. FPGA/CPLD系统功能规范
6、FPGA/CPLD功能仿真

要求要求：
本科及以上学历，电气工程或同等学历，4年以上工作经验，

一般技能、知识、能力：
• FPGA 设计流程，包括编程、约束编辑、功能验证、逻辑综合、布局规划和布线、时序验证
• 硬件描述语言 VHDL、Verilog HDL、系统 Verilog
• 开发工具，包括 Xilinx ISE、Altera Quartus
• ModelSim SE 的仿真工具
• Synplicity Synplify 的综合工具
• 具有 5 年以上 FPGA/ASIC 开发经验的 BS/EE。
• 扎实的逻辑设计知识和技能，有硬件知识者优先。
• 扎实的Verilog RTL 和测试台编码技能，良好的编码风格。
• 熟悉至少一种主流FPGA 和开发平台，Xilinx/Altera/Lattice。
• 自我激励，以团队为导向
• 良好的文档习惯
• 能够用英语写作和交流
• 关心自己的工作，可以算作兑现承诺。
• 在组织内外建立基于信任的关系
• 强大的分析、解决问题的能力

"
5,嵌入式软件工程师,FPGA专家/工程师 (MJ000705),25-45k,成都,5-10年-统招本科-verilog-vivado-示波器-matlab-python-网络设备,5-10年-统招本科-verilog-vivado-示波器-matlab-python-网络设备,北京星网锐捷网络技术有限公司,计算机硬件-沪深A股上市-5000-10000人,成都,计算机硬件-沪深A股上市-5000-10000人,"一、FPGA
职责描述:
1、负责FPGA新器件选型和评估；
2、负责FPGA国产化器件的导入；
3、负责组内FPGA通用模块(高低速接口，网络接口，存储控制器等)的设计和IP化；
4、负责通用IP的上板调试；
任职要求：
1、微电子、电子信息、电子科学、集成电路、通信工程等电子通信相关专业本科及以上学历；
2、熟练使用Verilog等逻辑编程语言，熟悉Vivado、Quartus等电路后端工具；
3、具有扎实数字电路基础，熟悉xilinx、altera的FPGA的工作原理与FPGA的体系架构；
4、有网络设备开发经验、高速接口（pcie、以太口、DDR3/4、Interlaken）调试经验者优先；
5、具备良好的学习能力和团队合作意识，善于沟通，能够有效配合开发团队解决遇到的问题。

二、FPGA
岗位职责：
1.参与FPGA方案调研及分析，接触业界前沿FPGA技术，参与FPGA业务拆解及总体规划设计实现；
2.承担系统/模块级方案制定、器件选型、详细设计、RTL编码及软硬件联调；
3.负责编写相关设计文档、调试总结文档；
4.承担控制单元逻辑、数据接口接口及通信协议的逻辑实现（Pcie/XGPON/FLexE/SDH）、业务流信号的处理转发；

三、FPGA
岗位职责：
（1）编写大型模块设计文档
（2）承担fpga大型模块设计及模块仿真
（3）参与系统的编译及时序分析
（4）同软件一起做上板调试

岗位要求：
1、有3年以上数通领域FPGA开发经验
2、熟悉fpga的开发、验证流程
3、有大规模、高速fpga开发经验优先
4、有pcie、dma开发经验优先
5、有万兆以太网开发经验优先
6、有ddr接口开发经验优先
5.负责设计模块的资源优化及仿真测试（用例抽项、用例编写、测试）。
任职要求：
1.熟悉Verilog，SystemVerilog等逻辑编程语言，熟悉Vivado、Quartus等电路后端工具；
2.具有扎实数字电路基础，熟悉xilinx、altera的FPGA的工作原理与FPGA的体系架构；
3.有网络知识背景、高速接口（pcie/XGPON/FLexE、以太口、DDR3/4、Interlaken）调试经验者优先考虑；
4.参加全国电子设计竞赛、机器人、挑战杯等并获得较好名次者优先考虑；
5.电子信息、通信工程、计算机相关专业本科及以上学历。

四、FPGA
职责描述:
1、搭建FPGA验证环境、拟订验证计划;
2、编写测试用例并测试;
3、覆盖率统计和分析;
4、配合上板验证;
5、负责验证/测试工程自动化建设。
任职要求:
1、微电子、电子信息、电子科学、集成电路、通信工程等电子通信相关专业本科及以上学历；
2、了解Verilog语言，具有数字电路基础，C/C++/Python等编程基础；
3、了解linux常用命令；
4、了解SystemVerilog，UVM验证方法者优先；
5、有FPGA验证工作经验者优先；
6、具备网络通信类产品开发或测试经验者优先；
7、具备良好的学习能力和团队合作意识，善于沟通，能够有效配合开发团队解决遇到的问题。

五、FPGA
","任职资格：
1、负责各类高速接口设计调试
2、负责信号处理模块设计和FPGA实现
3、负责FPGA工程开发全流程管控
4、协同开发团队，负责系统级故障的分析、定位和解决 工作职责： 岗位要求：
 岗位职责：
1、电子、物理、通信或相近专业，硕士研究生以上学历
2、熟悉各类高速数字接口，如JESD204，CPRI，万兆以太网等
3、精通Verilog/Matlab/C/C++等，熟悉FPGA/ARM/DSP等器件的算法开发流程
4、熟悉各类电子测量仪器的使用，如信号发生器、频谱分析仪、高速示波器等
5、具有LTE、5G、wifi等大型通信系统开发经验者优先
6、良好的沟通协调能力和书面表达能力
"
6,嵌入式软件工程师,FPGA专家/工程师 (MJ000705),25-45k,南京,5-10年-统招本科-verilog-vivado-示波器-matlab-python-网络设备,5-10年-统招本科-verilog-vivado-示波器-matlab-python-网络设备,北京星网锐捷网络技术有限公司,计算机硬件-沪深A股上市-5000-10000人,南京,计算机硬件-沪深A股上市-5000-10000人,"一、FPGA
职责描述:
1、负责FPGA新器件选型和评估；
2、负责FPGA国产化器件的导入；
3、负责组内FPGA通用模块(高低速接口，网络接口，存储控制器等)的设计和IP化；
4、负责通用IP的上板调试；
任职要求：
1、微电子、电子信息、电子科学、集成电路、通信工程等电子通信相关专业本科及以上学历；
2、熟练使用Verilog等逻辑编程语言，熟悉Vivado、Quartus等电路后端工具；
3、具有扎实数字电路基础，熟悉xilinx、altera的FPGA的工作原理与FPGA的体系架构；
4、有网络设备开发经验、高速接口（pcie、以太口、DDR3/4、Interlaken）调试经验者优先；
5、具备良好的学习能力和团队合作意识，善于沟通，能够有效配合开发团队解决遇到的问题。

二、FPGA
岗位职责：
1.参与FPGA方案调研及分析，接触业界前沿FPGA技术，参与FPGA业务拆解及总体规划设计实现；
2.承担系统/模块级方案制定、器件选型、详细设计、RTL编码及软硬件联调；
3.负责编写相关设计文档、调试总结文档；
4.承担控制单元逻辑、数据接口接口及通信协议的逻辑实现（Pcie/XGPON/FLexE/SDH）、业务流信号的处理转发；

三、FPGA
岗位职责：
（1）编写大型模块设计文档
（2）承担fpga大型模块设计及模块仿真
（3）参与系统的编译及时序分析
（4）同软件一起做上板调试

岗位要求：
1、有3年以上数通领域FPGA开发经验
2、熟悉fpga的开发、验证流程
3、有大规模、高速fpga开发经验优先
4、有pcie、dma开发经验优先
5、有万兆以太网开发经验优先
6、有ddr接口开发经验优先
5.负责设计模块的资源优化及仿真测试（用例抽项、用例编写、测试）。
任职要求：
1.熟悉Verilog，SystemVerilog等逻辑编程语言，熟悉Vivado、Quartus等电路后端工具；
2.具有扎实数字电路基础，熟悉xilinx、altera的FPGA的工作原理与FPGA的体系架构；
3.有网络知识背景、高速接口（pcie/XGPON/FLexE、以太口、DDR3/4、Interlaken）调试经验者优先考虑；
4.参加全国电子设计竞赛、机器人、挑战杯等并获得较好名次者优先考虑；
5.电子信息、通信工程、计算机相关专业本科及以上学历。

四、FPGA
职责描述:
1、搭建FPGA验证环境、拟订验证计划;
2、编写测试用例并测试;
3、覆盖率统计和分析;
4、配合上板验证;
5、负责验证/测试工程自动化建设。
任职要求:
1、微电子、电子信息、电子科学、集成电路、通信工程等电子通信相关专业本科及以上学历；
2、了解Verilog语言，具有数字电路基础，C/C++/Python等编程基础；
3、了解linux常用命令；
4、了解SystemVerilog，UVM验证方法者优先；
5、有FPGA验证工作经验者优先；
6、具备网络通信类产品开发或测试经验者优先；
7、具备良好的学习能力和团队合作意识，善于沟通，能够有效配合开发团队解决遇到的问题。

五、FPGA
","任职资格：
1、负责各类高速接口设计调试
2、负责信号处理模块设计和FPGA实现
3、负责FPGA工程开发全流程管控
4、协同开发团队，负责系统级故障的分析、定位和解决 工作职责： 岗位要求：
 岗位职责：
1、电子、物理、通信或相近专业，硕士研究生以上学历
2、熟悉各类高速数字接口，如JESD204，CPRI，万兆以太网等
3、精通Verilog/Matlab/C/C++等，熟悉FPGA/ARM/DSP等器件的算法开发流程
4、熟悉各类电子测量仪器的使用，如信号发生器、频谱分析仪、高速示波器等
5、具有LTE、5G、wifi等大型通信系统开发经验者优先
6、良好的沟通协调能力和书面表达能力
"
7,嵌入式软件工程师,Staff/ Senior FPGA Emulation Engineer,薪资面议,北京-海淀区,经验不限-本科-verilog,经验不限-本科-verilog,北京特纳飞电子技术有限公司,电子/半导体/集成电路-100-499人,北京-海淀区,电子/半导体/集成电路-100-499人,"职责描述：
Job Description:
In this technical role, the candidate will be participating the next generation of SSD controller development. Working with our strong experienced team on Hardware Emulator and FPGA design. We are looking for someone who has passion to solve complex problems on FPGA and emulator development.

Job Responsibilities:
•	Be part of hardware team responsible for SSD controller FPGA emulation platform design, bring up and maintenance
•	Create FPGA emulation platform development flow, include ASIC RTL porting, FPGA partition, Synthesis and implementation
•	Build up FPGA debugging methodology, debug tough FPGA issues 
•	Work with Architecture, IP, DV and Design team to define FPGA emulation platform features. FPGA design implementation for different emulation/validation purpose
•	AISC RTL to FPGA design porting, FPGA design verification, performance and timing optimization
•	Tracking FPGA technology, improve and optimize FPGA verification flow

","任职要求：
•	Major education background in EE or related fields, MS degree with 3+ years of FPGA development experience or BS degree with 5+ years of FPGA development experience 
•	Good knowledge of FPGA design with Verilog, VHDL and SystemVerilog on Altera or Xilinx FPGA
•	Expertise on the FPGA synthesis and implementation tools, such as Synplify, Vivado and so on
•	Linux environment working experience, familiar with Makefile, good knowledge of TCL, Perl scripting language
•	Good knowledge of verification tool, VCS and Verdi 
•	Good at using lab equipment, such as Oscilloscope, Logic Analyzer and bus protocol analyzer
•	Familiar with the SSD standard interface: PCIE, DDR3/4, LPDDR3/4, ONFI and Toggle interface
•	Good written and spoken English is required 
•	Open-mind and self-motive, able to work efficiently under pressure
The below knowledge and skills are plus:
•	Knowledge on SSD controller RTL design, better understand of SSD architecture 
•	Knowledge of PCIe protocol, PCIe design experience is plus
•	Development experience on HAPS FPGA platform, knowledge of ProtoCompiler IDE tool
•	Development experience with Hardware emulator is plus, such as ZeBu or PXP
•	FPGA design partition experience is plus
"
8,嵌入式软件工程师,FPGA专家/工程师 (MJ000705),25-45k,上海,5-10年-统招本科-verilog-vivado-示波器-matlab-python-网络设备,5-10年-统招本科-verilog-vivado-示波器-matlab-python-网络设备,北京星网锐捷网络技术有限公司,计算机硬件-沪深A股上市-5000-10000人,上海,计算机硬件-沪深A股上市-5000-10000人,"一、FPGA
职责描述:
1、负责FPGA新器件选型和评估；
2、负责FPGA国产化器件的导入；
3、负责组内FPGA通用模块(高低速接口，网络接口，存储控制器等)的设计和IP化；
4、负责通用IP的上板调试；
任职要求：
1、微电子、电子信息、电子科学、集成电路、通信工程等电子通信相关专业本科及以上学历；
2、熟练使用Verilog等逻辑编程语言，熟悉Vivado、Quartus等电路后端工具；
3、具有扎实数字电路基础，熟悉xilinx、altera的FPGA的工作原理与FPGA的体系架构；
4、有网络设备开发经验、高速接口（pcie、以太口、DDR3/4、Interlaken）调试经验者优先；
5、具备良好的学习能力和团队合作意识，善于沟通，能够有效配合开发团队解决遇到的问题。

二、FPGA
岗位职责：
1.参与FPGA方案调研及分析，接触业界前沿FPGA技术，参与FPGA业务拆解及总体规划设计实现；
2.承担系统/模块级方案制定、器件选型、详细设计、RTL编码及软硬件联调；
3.负责编写相关设计文档、调试总结文档；
4.承担控制单元逻辑、数据接口接口及通信协议的逻辑实现（Pcie/XGPON/FLexE/SDH）、业务流信号的处理转发；

三、FPGA
岗位职责：
（1）编写大型模块设计文档
（2）承担fpga大型模块设计及模块仿真
（3）参与系统的编译及时序分析
（4）同软件一起做上板调试

岗位要求：
1、有3年以上数通领域FPGA开发经验
2、熟悉fpga的开发、验证流程
3、有大规模、高速fpga开发经验优先
4、有pcie、dma开发经验优先
5、有万兆以太网开发经验优先
6、有ddr接口开发经验优先
5.负责设计模块的资源优化及仿真测试（用例抽项、用例编写、测试）。
任职要求：
1.熟悉Verilog，SystemVerilog等逻辑编程语言，熟悉Vivado、Quartus等电路后端工具；
2.具有扎实数字电路基础，熟悉xilinx、altera的FPGA的工作原理与FPGA的体系架构；
3.有网络知识背景、高速接口（pcie/XGPON/FLexE、以太口、DDR3/4、Interlaken）调试经验者优先考虑；
4.参加全国电子设计竞赛、机器人、挑战杯等并获得较好名次者优先考虑；
5.电子信息、通信工程、计算机相关专业本科及以上学历。

四、FPGA
职责描述:
1、搭建FPGA验证环境、拟订验证计划;
2、编写测试用例并测试;
3、覆盖率统计和分析;
4、配合上板验证;
5、负责验证/测试工程自动化建设。
任职要求:
1、微电子、电子信息、电子科学、集成电路、通信工程等电子通信相关专业本科及以上学历；
2、了解Verilog语言，具有数字电路基础，C/C++/Python等编程基础；
3、了解linux常用命令；
4、了解SystemVerilog，UVM验证方法者优先；
5、有FPGA验证工作经验者优先；
6、具备网络通信类产品开发或测试经验者优先；
7、具备良好的学习能力和团队合作意识，善于沟通，能够有效配合开发团队解决遇到的问题。

五、FPGA
","任职资格：
1、负责各类高速接口设计调试
2、负责信号处理模块设计和FPGA实现
3、负责FPGA工程开发全流程管控
4、协同开发团队，负责系统级故障的分析、定位和解决 工作职责： 岗位要求：
 岗位职责：
1、电子、物理、通信或相近专业，硕士研究生以上学历
2、熟悉各类高速数字接口，如JESD204，CPRI，万兆以太网等
3、精通Verilog/Matlab/C/C++等，熟悉FPGA/ARM/DSP等器件的算法开发流程
4、熟悉各类电子测量仪器的使用，如信号发生器、频谱分析仪、高速示波器等
5、具有LTE、5G、wifi等大型通信系统开发经验者优先
6、良好的沟通协调能力和书面表达能力
"
9,嵌入式软件工程师,FPGA专家/工程师 (MJ000705),25-45k,北京,5-10年-统招本科-verilog-vivado-示波器-matlab-python-网络设备,5-10年-统招本科-verilog-vivado-示波器-matlab-python-网络设备,北京星网锐捷网络技术有限公司,计算机硬件-沪深A股上市-5000-10000人,北京,计算机硬件-沪深A股上市-5000-10000人,"一、FPGA
职责描述:
1、负责FPGA新器件选型和评估；
2、负责FPGA国产化器件的导入；
3、负责组内FPGA通用模块(高低速接口，网络接口，存储控制器等)的设计和IP化；
4、负责通用IP的上板调试；
任职要求：
1、微电子、电子信息、电子科学、集成电路、通信工程等电子通信相关专业本科及以上学历；
2、熟练使用Verilog等逻辑编程语言，熟悉Vivado、Quartus等电路后端工具；
3、具有扎实数字电路基础，熟悉xilinx、altera的FPGA的工作原理与FPGA的体系架构；
4、有网络设备开发经验、高速接口（pcie、以太口、DDR3/4、Interlaken）调试经验者优先；
5、具备良好的学习能力和团队合作意识，善于沟通，能够有效配合开发团队解决遇到的问题。

二、FPGA
岗位职责：
1.参与FPGA方案调研及分析，接触业界前沿FPGA技术，参与FPGA业务拆解及总体规划设计实现；
2.承担系统/模块级方案制定、器件选型、详细设计、RTL编码及软硬件联调；
3.负责编写相关设计文档、调试总结文档；
4.承担控制单元逻辑、数据接口接口及通信协议的逻辑实现（Pcie/XGPON/FLexE/SDH）、业务流信号的处理转发；

三、FPGA
岗位职责：
（1）编写大型模块设计文档
（2）承担fpga大型模块设计及模块仿真
（3）参与系统的编译及时序分析
（4）同软件一起做上板调试

岗位要求：
1、有3年以上数通领域FPGA开发经验
2、熟悉fpga的开发、验证流程
3、有大规模、高速fpga开发经验优先
4、有pcie、dma开发经验优先
5、有万兆以太网开发经验优先
6、有ddr接口开发经验优先
5.负责设计模块的资源优化及仿真测试（用例抽项、用例编写、测试）。
任职要求：
1.熟悉Verilog，SystemVerilog等逻辑编程语言，熟悉Vivado、Quartus等电路后端工具；
2.具有扎实数字电路基础，熟悉xilinx、altera的FPGA的工作原理与FPGA的体系架构；
3.有网络知识背景、高速接口（pcie/XGPON/FLexE、以太口、DDR3/4、Interlaken）调试经验者优先考虑；
4.参加全国电子设计竞赛、机器人、挑战杯等并获得较好名次者优先考虑；
5.电子信息、通信工程、计算机相关专业本科及以上学历。

四、FPGA
职责描述:
1、搭建FPGA验证环境、拟订验证计划;
2、编写测试用例并测试;
3、覆盖率统计和分析;
4、配合上板验证;
5、负责验证/测试工程自动化建设。
任职要求:
1、微电子、电子信息、电子科学、集成电路、通信工程等电子通信相关专业本科及以上学历；
2、了解Verilog语言，具有数字电路基础，C/C++/Python等编程基础；
3、了解linux常用命令；
4、了解SystemVerilog，UVM验证方法者优先；
5、有FPGA验证工作经验者优先；
6、具备网络通信类产品开发或测试经验者优先；
7、具备良好的学习能力和团队合作意识，善于沟通，能够有效配合开发团队解决遇到的问题。

五、FPGA
","任职资格：
1、负责各类高速接口设计调试
2、负责信号处理模块设计和FPGA实现
3、负责FPGA工程开发全流程管控
4、协同开发团队，负责系统级故障的分析、定位和解决 工作职责： 岗位要求：
 岗位职责：
1、电子、物理、通信或相近专业，硕士研究生以上学历
2、熟悉各类高速数字接口，如JESD204，CPRI，万兆以太网等
3、精通Verilog/Matlab/C/C++等，熟悉FPGA/ARM/DSP等器件的算法开发流程
4、熟悉各类电子测量仪器的使用，如信号发生器、频谱分析仪、高速示波器等
5、具有LTE、5G、wifi等大型通信系统开发经验者优先
6、良好的沟通协调能力和书面表达能力
"
10,嵌入式软件工程师,硬件工程师,15-35k·13薪,北京-丰台区,1-3年-统招本科-电机-EMC设计-高速电路,1-3年-统招本科-电机-EMC设计-高速电路,北京中创志远科技有限公司,专业技术服务-1-49人,北京-丰台区,专业技术服务-1-49人,"1、负责高速电机驱动控制系统的测试、调试工作；
2、负责磁悬浮轴承控制电路的测试、调试工作，并参与控制电路的设计；
3、负责高速磁悬浮电机控制流程设计，并实现上电控制软、硬件研制；
4、完成产品开发过程中的产品规格书等各类文档，并及时归档。 
","任职要求: 
1、电气工程、电力电子、机械电子工程等相关专业，本科或以上学历； 
2、精通电路硬件原理图、PCB，电路调测，有电机驱动控制研发经验者优先；
3、熟练掌握DSP、FPGA、ARM等嵌入式系统的开发。"
