序号,岗位类别,岗位名称,薪酬,地点,学历要求,经验要求,企业名称,企业规模,所属地域,所属行业,岗位职责,岗位要求
1,数据分析工程师,数据分析岗 （普惠信用方向）,9-15k,合肥-包河区,经验不限-本科-数据分析-Python-Java,经验不限-本科-数据分析-Python-Java,安徽省征信股份有限公司,云计算/大数据-天使轮-100-499人,合肥-包河区,云计算/大数据-天使轮-100-499人,"岗位职责：
1.具备征信业、银行业、金融业等领域较好的理论知识水平和实操能力，熟悉金融、征信业务和监管政策要求；
2.熟悉信贷领域的解决方案架构和业务逻辑，有银行等金融机构的业务经验，具备项目开发实施经验；
3.能协调处理跨部门、跨专业的工作项目，制定项目计划、拟定实施方案、协调多方资源；
4.具备进行数据分析、模型开发、产品设计、系统架构的能力；
5.具备良好的职业素养，富有责任心，具有较强的逻辑思维和文字表达能力。
","任职要求：
1.本科及以上学历，数学、统计、计算机等相关专业；
2.对特征选择方法、数据建模过程有深入理解,懂得常用机器学习算法(逻辑回归、随机森林、提升树、神经网络)的原理与参数调整方法；
3.扎实的编程和数学基础，精通Python、 R、SQL或SAS之一的优先;
4.勤奋踏实，善于分析思考问题，具有优秀的沟通能力、团队合作精神和抗压能力;
5.有大中型消费信贷或信用卡机构建模经验的优先考虑。"
2,数据分析工程师,营销分析,22-28k,香港-葵青区,3-5年-本科-效果评估-市场营销-市场调研分析-数据分析-市场运营-营销活动-IT/互联网/软件,3-5年-本科-效果评估-市场营销-市场调研分析-数据分析-市场运营-营销活动-IT/互联网/软件,中国移动国际有限公司,通信设备-500-999人,香港-葵青区,通信设备-500-999人,"岗位职责：

- 制定公司年度营销资源预算规划，定期汇总并分析相关预算执行情况，分析预算执行差异产生的原因，并提出合理化建议。
- 客户行为分析：开展客户消费行为分析、产品匹配度分析等客户行为研究与分析。
- 对资费产品进行定期分析和优化，包括但不限于日常监控、盈亏分析等内容，及时优化产品。 
- 开展营销活动相关的数据分析、活动效果评估等业务管理工作。


","任职要求：

- 学历要求：本科及以上学位，市场、商科专业优先；
- 工作要求：3年以上市场营销、数据分析、互联网运营等相关工作经验，在通讯或相关领域
- 有类似工作经历者优先，了解5G发展现状和未来发展趋势者优先
- 性格要求：思维敏捷，具备出色的文字表达、材料撰写能力以及逻辑思考能力；具备专业的
- 营销策划及数据分析技能；掌握较强沟通协调能力；
- 技能要求：熟练使用office办公软件；
- 语言要求：普通话、英文；
"
3,数据分析工程师,数据分析师岗(J10142),15-25k,广州-黄埔区,3-5年-本科-数据治理-数据分析-大数据领域-SQL,3-5年-本科-数据治理-数据分析-大数据领域-SQL,南方电网数字平台科技(广东)有限公司,计算机软件-1000-2000人,广州-黄埔区,计算机软件-1000-2000人,,
4,数据分析工程师,宝马（中国）未来技术星 – 研发部门数据分析,薪资面议,北京-顺义区,经验不限-本科-.NET,经验不限-本科-.NET,宝马(中国)服务有限公司,整车制造-10000人以上,北京-顺义区,整车制造-10000人以上,,
5,数据分析工程师,测试专家-数据,30-45k,北京,10年以上-统招本科-sql,10年以上-统招本科-sql,京北方信息,互联网-其他股票市场上市-10000人以上,北京,互联网-其他股票市场上市-10000人以上,,
6,数据分析工程师,Client Data Analysis Supervisor,20-25k·13薪,上海-静安区,5-10年-统招本科,5-10年-统招本科,历峰集团Richemont,珠宝/首饰-2000-5000人,上海-静安区,珠宝/首饰-2000-5000人,,
7,数据分析工程师,高级大数据测试工程师,25-35k,上海,5-10年-本科-压力测试-自动化测试,5-10年-本科-压力测试-自动化测试,西部证券,基金/证券/期货-沪深A股上市-2000-5000人,上海,基金/证券/期货-沪深A股上市-2000-5000人,"职位描述：
1.负责金融数据团队业务数据质量的保证
2.深入理解业务需求，与产品经理和开发人员协作，负责数据侧业务的测试用例编写及功能验证工作
3.负责数据团队etl脚本，数据接口及报表功能的测试，数据验证及缺陷管理工作
","任职要求
1.本科及以上学习，具备5年以上测试工作经验，2年以上数据类产品如数据报表，数据仓库等测试经验；
2.熟悉多种关系型数据库（Mysql/Oracle/Postgresql）及大数据相关数据库（Hive/Hbase/Impala），并具备较强的SQL能力；
3.熟悉接口测试、压力自测试、自动化测试相关工具，并具备相应使用及搭建技能；
4.具备一定的编程能力，熟悉至少一种编程语言（Python/Java/Perl）；
5.有较强的学习能力和责任心，良好的沟通表达能力。"
8,数据分析工程师,电商数据分析专员/经理,10-20k,上海,3-5年-大专,3-5年-大专,上海点正互联网科技有限公司,电子商务-100-499人,上海,电子商务-100-499人,"职责描述：
拟招聘岗位职责描述：（请详细列明，如有特殊职责请一并标明）
- Work with teams across planning, creative, social and clients, be
responsible for data management and analysis for ecommerce and digital
marketing
与策略创意客户等跨部门协作，负责电商数字营销数据管理与分析

 - Carry out competitive and market scans to compare client's with
their competitors, and share findings on market and industry trends
开展竞品与市场分析，展望市场与行业趋势

 - Analyze client's business drivers, provide insights and
recommendations to achieve ecommerce sales goals
分析客户业务驱动因素，根据数据提供洞察与建议

- Gather client's business requirements and establishes measurement
infrastructure for data capture and reporting for client business.
收集客户业务需求，客户业务需求分析，定义数据与报告的plan体系

 - Conduct multi-channel data integration projects to improve customer
segmentation capabilities and insights
实施多渠道数据整合项目，加强消费者数据细分洞察

- Assist and advise the ecommerce team by providing clear and simple
access to reports, explain and share data findings and present
insightful analyses to both internal and client teams
为电商团队提供清晰易读的报告，向内部与客户团队解读数据发现与洞察

","任职要求：
- Strong business sense to turning analytics data to actionable business insights
优秀的商业经验，将基于数据的分析转化为可执行的商业洞察

 - At least 4 years of experience in data analysis preferably in an
ecommerce or digital marketing agency or client side
市场研究，或者数字营销数据分析领域4年以上经验

 - Experience in Taobao/Tmall marketing and analysis tools (ie. Adobe
Omniture, Google Analytics, etc.) a plus
有淘系营销与标准数据工具经验为佳

 - Good knowledge of Microsoft Excel and Powerpoint for clear
communication and presentation a must
熟练运用Excel与Powerpoint进行数据呈现与解读

 - Strong communication and Presentation skills (Mandarin/English).
优秀沟通和提案技巧"
9,数据分析工程师,数据测试工程师,14-18k,杭州,5-10年-本科-软件测试-SQL-灰盒测试-银行领域,5-10年-本科-软件测试-SQL-灰盒测试-银行领域,天阳宏业,计算机软件-创业板上市-5000-10000人,杭州,计算机软件-创业板上市-5000-10000人,,
10,数据分析工程师,中台规划岗（开发部）,7-12k·13薪,上海-静安区,经验不限-本科-Python-SQL-数据收集-数据分析,经验不限-本科-Python-SQL-数据收集-数据分析,大润发,批发/零售-10000人以上,上海-静安区,批发/零售-10000人以上,"工作职责
1.针对门店开发体系所需数据进行获取、清洗和存储。用机器学习和数据挖掘的方法从海量商业数据、POI数据和门店数据中挖掘有效信息； 
2.协助建立部门内部数据库体系，监控各项数据指标变化，预判业务走势（监控、预警），及时反馈客观意见；
3.规范各类指标定义、获取、更新规则，建立数据模型，完成各分析体系的自动化运行方案；
4.门店数据分析需求，对多种数据源进行深度诊断性分析、挖掘和建模，总结门店内在逻辑规律，提升门店预估准确度，建立机会点址评判规则；
","任职资格
1.本科及以上学历，统计学、数学、计算机、市场营销等相关专业；
2.有较强的数据分析能力，具备数据敏感度，能从海量数据提炼核心结果，有数据分析、挖掘和建模经验者优先； 
3.熟悉SQL数据处理语言，可熟练使用Python, R, Tableau等一门或多门数据分析工具；
4.良好的学习能力及执行力，逻辑清晰，对门店开拓业务有较好的理解力和敏锐度，注重理论与实际相结合；有门店选址、销售预估、GIS空间算法等经验者优先考虑；
5.具备良好的沟通能力和团队合作精神，能高效的与团队进行沟通探讨，亦可独立开展研究项目或编写商业数据分析报告。"
