序号,岗位类别,岗位名称,薪酬,地点,学历要求,经验要求,企业名称,企业规模,所属地域,所属行业,岗位职责,岗位要求
1,电子工程师,模拟设计工程师,30-60k,北京,经验不限-硕士,经验不限-硕士,昆腾微电子,电子/半导体/集成电路-其他-100-499人,北京,电子/半导体/集成电路-其他-100-499人,"
一、岗位职责：
1、负责模拟与混合信号电路的设计；
2、制定电路需求指标，进行架构设计，内部电路模块设计，底层电路设计；
3、指导版图工程师绘制版图，对芯片进行测试验证，书写设计报告等
二、","任职要求：
1、硕士/博士学历；
2、有扎实的模拟电路设计理论基础，掌握主流EDA设计工具；
3、熟悉MATLAB/VerilogAMS等工具进行电路系统建模和行为级仿真；
4、有Sigma-delta  ADC/DAC，audio codec，DC-DC等模块设计经验，并精通其中一种模块者优先；
5、良好的团队合作精神"
2,电子工程师,硬件工程师,17-22k·13薪,上海-徐汇区,3-5年-本科-上位机-硬件设计,3-5年-本科-上位机-硬件设计,英特磊半导体,电子/半导体/集成电路-1-49人,上海-徐汇区,电子/半导体/集成电路-1-49人,"1.	进行激光控制模块，光电探测与数据采集模块，核心处理模块的具体设计
2.	对光电探测与数据采集模块的相关电路进行设计仿真与分析，优化整体电路
3.	信号处理板的硬件部分与MCU程序，操作ARM软件
4.	激光算法实现: 例如三角波调制、寻峰、波形纠偏、浓度滑动、波形平滑、输出拟合
5.	规划TDLAS 在线测量系统设计
6.	实现利用激光半导体对温度与气体组分进行同步在线监测


","任职要求：
1.本科及以上；
2.低噪声模拟信号电路设计；
3.光电信号处理；
4.充电器电路设计；
5.熟悉国产芯片"
3,电子工程师,电气工程师,15-25k,苏州-张家港,5-10年-本科-PLC编程语言-Eplan,5-10年-本科-PLC编程语言-Eplan,苏州思萃熔接技术研究所有限公司,学术/科研-1-49人,苏州-张家港,学术/科研-1-49人,"岗位职责：
1、设备控制方案设计，制作项目BOM清单、图纸、编写PLC、PC、HMI程序；                                                            
2、设备调试，改进至稳定生产并验收；                                                        
3、撰写设备操作说明书并培训操作人员，并提供售后支持；
4、设备方案和报价支持，完成仪器仪表及元器件的评估选型。    
","任职要求：
1、从事非标自动化设备电气编程相关工作经验5年以上，熟悉各种电气相关部件； 
2、能独立设计及绘制电路电气图纸，熟练使用AUTOCAD或 者EPLAN； 
3、熟练自动化电器零部件的选型；熟悉各种光电开关，接近开关等传感器选型，熟练PLC的选型，各种继电器，断路器等配电元件以及伺服步进变频器的使用；
4、积极配合机构设计和装配部门工作，具有良好的沟通协调能力及团队合作精神；
"
4,电子工程师,射频电路设计工程师,薪资面议,上海,3-5年-硕士-硬件设计-射频电路,3-5年-硕士-硬件设计-射频电路,乐鑫科技,电子/半导体/集成电路-500-999人,上海,电子/半导体/集成电路-500-999人,"岗位职责
1、设计射频电路并进行仿真验证，包括 LNA，PA，VCO，PLL 等关键电路设计与优化；
2、基于产品规格和市场需求，提出并执行电路设计方案，对整个电路方案进行评估和分析；
3、与设计团队和版图工程师紧密合作，确保电路设计方案符合产品设计规范，并协助完成电路布局；
4、协调并指导版图设计人员，确保电路设计的准确性和可重复性；
5、与产品测试团队合作，设计并执行测试计划，验证电路设计的性能指标；
6、撰写设计文档，记录电路设计过程和结果，包括设计规格书、设计报告、设计验证报告等;
7、持续学习和掌握射频电路设计新技术和新方法，以提高电路设计的效率和质量。
","任职要求
1、电子工程、微电子、通信工程等相关专业，硕士及以上学历；
2、具备 3 年及以上射频电路设计经验；
3、熟悉射频电路的基础理论、架构设计和性能优化方法；
4、熟悉射频电路仿真工具（如 ADS、HFSS 等）的使用；
5、熟悉高频布线和 EM 仿真的基础知识；
6、熟练掌握 Cadence 和其他版图设计工具；
7、熟悉测试方法和测试工具（如 Vector Network Analyzer、Spectrum Analyzer 等）；
8、具有一定的团队合作精神和沟通能力，能够协调和指导团队成员完成设计任务；
9、具备良好的英语阅读和书写能力，能够阅读和编写英文技术文档。"
5,电子工程师,数字电路设计工程师/高级数字电路设计工程师/设计经理,50-80k·18薪,深圳,经验不限-硕士,经验不限-硕士,麦斯塔微电子,电子/半导体/集成电路-A轮-50-99人,深圳,电子/半导体/集成电路-A轮-50-99人,"千亿市场规模急需填补国内空白，国内少有聚焦该细分市场的创业团队！创始班底来自于国际知名头部公司，近期完成数千万元天使轮融资，由知名风险投资机构领投。有原始股＋竞争力的薪酬。期待你的加入！

数字电路设计工程师/高级数字电路设计工程师
岗位职责：
1、根据系统要求制定芯片规格，并制定各个模块的指标要求；
2、根据芯片规格制定数字电路设计方案；
3、数字演算法的建模仿真、数字电路设计与验证及设计验证文档的撰写；
4、指导后端版图，协助测试。
","岗位要求：
1、集成电路、微电子或电子工程等相关专业硕士以上学历；
2、有实际数字电路设计经验和成功流片经验；有数模混合芯片或传感器芯片设计经验优先。
3、精通 Verilog HDL 代码编写及验证，了解数字电路设计工具，熟练使用数模混合仿真软件工具；
4、熟悉掌握数字电路设计流程及方法，熟悉集成电路制造工艺；
5、有良好的数字信号处理基础，对逻辑综合，时序收敛，形成验证等数字前端设计方法有一定了解。
6、工作严谨细致，善于思考问题，具备良好的沟通表达能力和团队合作精神；
7、有实际模拟集成电路设计经验和成功流片经验；"
6,电子工程师,电路设计工程师-天津,11-17k,天津-西青区,3-5年-统招本科-硬件设计-数字电路,3-5年-统招本科-硬件设计-数字电路,智芯传感,电子/半导体/集成电路-A轮-50-99人,天津-西青区,电子/半导体/集成电路-A轮-50-99人,"【岗位职责】
1. 电路设计和验证：根据产品需求和规范，进行电路设计和验证，包括模拟电路、数字电路、功率电路等方面的设计和测试，确保产品满足设计要求。
2. 电路优化和改进：通过电路设计和验证，提出电路的优化方案，改进产品的性能和可靠性，并提高生产效率。
3. 技术支持：与制造团队和供应商合作，解决产品设计和制造中的技术问题，提供技术支持和解决方案。
4. 设计标准和流程：制定和维护电路设计的标准和流程，确保设计的一致性和质量可控。
5. 跨部门合作：与研发团队、生产团队和供应商紧密合作，协调资源，推动产品的顺利开发和生产。




【","岗位要求】
1. 本科及以上学历，电子工程或相关专业；
2. 至少3年以上电路设计工程师或相关工作经验，熟悉模拟电路和数字电路设计原理和方法；
3. 熟练使用电路设计和仿真软件，如Cadence、Altium等；
4. 具备优秀的问题解决能力和技术分析能力，能够快速识别问题、制定解决方案并推动实施；
5. 熟悉电路设计的相关标准和规范，如ISO、IEC等；
6. 出色的团队合作精神，能够与跨部门团队成员合作同完成项目目标；
7. 具备良好的沟通和表达能力，能够与各级别的员工进行有效的沟通和协作。
"
7,电子工程师,电路设计,20-40k,成都,5-10年-硕士-电路设计-功放-信道-TR组件-变频-收发,5-10年-硕士-电路设计-功放-信道-TR组件-变频-收发,某知名公司,100-499人,成都,100-499人,"【职位一：信道电路设计--信道】
工作内容：
1.负责信道产品原理图设计及PCB设计；
2.负责信道产品编写相关技术文件；
3.负责信道产品电路及产品调试；
4.负责信道产品料单及电路装配图编制；
5.负责信道产品研制总结与转产。
工作要求：
电磁场与微波或电路设计专业，硕士学历以上。4年以上工作经验，3个以上项目经历。



【职位二：大功率电路设计--信道】
工作内容：
1.负责大功率电路模块（低频段上千瓦级，高频段上百瓦级）的详细电路设计；
2.负责模块电路及产品调试；
3.负责技术方案编制、元器件选型与物料申报、料单及电路装配图编制、产品研制总结与转产。
工作要求：
1.电磁场与微波、电子科学与技术、电路设计相关专业，硕士及以上，具有4年以上大功率微波电路设计经验；
2.扎实的微波电路基础，能够熟练操作微波射频方向相应仿真软件（ADS/HFSS），熟练使用矢量信号源、频谱仪、功率计及网络分析仪等器材；
3.熟悉微波电路小型化设计及工艺技术。



【职位三：TR组件--天线与阵列】
岗位职责：
1.负责高密度TR组件设计；射频模块及芯片指标分解；
2.负责射频模块详细电路设计；
3.负责模块电路及产品调试；
4.负责技术方案编制、元器件选型与物料申报、料单及电路装配图编制、产品研制总结与转产。
","任职要求：
1.电磁场与微波、电子科学与技术、电路相关专业，硕士及以上；
2.扎实的微波电路基础，能够熟练操纵微波射频方向相应仿真软件（ADS/HFSS），熟练使用矢量信号源、频谱仪、功率计及网络分析仪等器材；
3.熟悉微波电路小型化设计及工艺技术。相关TR项目经验，熟悉HTCC/LTCC相关设计规则，有项目经验者优先。"
8,电子工程师,模拟电路设计工程师,35-55k·15薪,上海-浦东新区,5-10年-硕士,5-10年-硕士,芯驰科技,电子/半导体/集成电路-100-499人,上海-浦东新区,电子/半导体/集成电路-100-499人,"岗位职责：
1、工艺选型对比，前端技术预研； 
2、根据产品的需求，定义模拟模块的功能和性能参数；
3、负责模拟电路设计和仿真, 撰写详细设计文档；
4、撰写版图设计指导书，指导、监督版图设计； 
5、协助TE完成量产测试，协助解决客户的应用问题；
","任职要求：
1、微电子、电子工程等相关专业，硕士学历及以上；有五年以上模拟电路设计经验，熟悉模拟电路等相关知识及电路的设计流程； 
2、模拟电路设计方面理论基础扎实, 在半导体器件和半导体工艺方面有一定的理论基础； 
3、熟悉模拟版图设计；深入理解版图中的寄生和风险； 
4、满足以下一项或多项条件均可： 
1）熟悉PMU相关电路设计：DCDC、LDO、POR等；
2）熟悉IO设计：DDR/USB2 PHY、IO、ESD/Latch up等；
3）熟悉时钟电路：PLL、Oscillator等；
4）有MCU设计经验者优先；
5、能独立完成电路设计与仿真，逻辑思维能力强，学习能力强；
6、熟练使用Cadence、hspice、spectre等仿真工具及模拟电路设计流程； 
7、熟悉寄生参数抽取，后仿和基于后仿的结果优化电路设计；
8、有独立Debug芯片问题的能力，熟练使用各种测试测量工具；
9、有流片和量产经验，有先进工艺的流片经验者优先。
性格特点：
1、认真，严谨，富有责任心；
2、勇于接受挑战的能力；
3、具备积极主动的学习能力；
4、性格沉稳，容易沟通合作；"
9,电子工程师,开关电源模拟电路设计工程师,15-25k·15薪,广州,经验不限-统招本科,经验不限-统招本科,某电子/半导体/集成电路公司,电子/半导体/集成电路-1-49人,广州,电子/半导体/集成电路-1-49人,,
10,电子工程师,现场支持工程师,15-30k·16薪,成都-成华区,1-3年-本科,1-3年-本科,铭科思微电子,电子/半导体/集成电路-50-99人,成都-成华区,电子/半导体/集成电路-50-99人,"岗位职责：
1、完成芯片的售前技术支持工作。与用户完成芯片需求相关的技术问题对接与支持，如:选型推荐、代换性/适配性确认、芯片板级应用与外围电路设计相关问题解答等；
2、完成芯片的售后技术服务工作，响应客户的现场服务需求。如: demo演示、软/硬件使用指导、配合客户完成固件升级等；
3、完成芯片的售后服务工作。如:对于客户应用过程中出现的客诉问题进行现场对接，对客诉问题的性质初步判断并协助客户现场解决。对于无法现场解决的问题，准确记录故障条件并传递给内部研发设计师，配合设计师完成问题的内场测试复现，基于研发设计师的分析和处置意见，现场协助客户解决问题；
4、在客户对接过程中，参与客户需求收集、市场信息调研工作。配合销售人员开展客户现场拜访，在业务拜访过程中解答产品应用相关的技术问题；
5、配合完善FAE人员梯队建设，负责部门内知识体系建设，如FAQ编制、内部培训等。
","任职要求：
1、本科以上学历，电子 (微电子) 、电气、计算机、自动化等相关专业；
2、熟悉ADC芯片应用或者FAE从业经验者优先；
3、熟练使用办公软件如: Word、PPT、Excel等；
4、良好的沟通表达能力、团队协作能力、服务意识能吃苦耐劳；
5、适应客户拜访，接受不定期出差。"
