序号,岗位类别,岗位名称,薪酬,地点,学历要求,经验要求,企业名称,企业规模,所属地域,所属行业,岗位职责,岗位要求
1,算法工程师,系统研发（初级&中级）,15-25k,北京-朝阳区,经验不限-统招本科-架构设计-C++-GIT,经验不限-统招本科-架构设计-C++-GIT,上海文谛资产管理有限公司,基金/证券/期货-50-99人,北京-朝阳区,基金/证券/期货-50-99人,,
2,算法工程师,快速原型Python工程师,23-35k·14薪,上海-黄浦区,5-10年-统招本科-Linux-AI算法应用-数据爬取分析,5-10年-统招本科-Linux-AI算法应用-数据爬取分析,现代汽车中国前瞻数字研发中心,整车制造-100-499人,上海-黄浦区,整车制造-100-499人,"职责描述:
1. 负责Python应用程序开发
2. 负责开源AI算法应用调试
3. 配合快速原型工程师完成快速原型验证

","任职要求:
1. 本科及以上学历，计算机、软件工程等相关专业
2. 五年以上Python开发经验
3. 精通Python应用开发，掌握Python数据结构与常用算法
4. 熟悉Linux环境，了解http等网络协议
5. 熟悉mysql，熟悉主流nosql数据库
6. 了解pandas, numpy
7. 较强的沟通能力，能够积极主动解决问题
8. 有AI算法应用开发经验者优先
9. 熟悉scrapy等爬虫框架，有数据爬取分析经验者优先"
3,算法工程师,高级算法工程师,15-25k,成都,1-3年-硕士-信号处理-知识图谱-Python-图像处理,1-3年-硕士-信号处理-知识图谱-Python-图像处理,泰盟软件,智能硬件-100-499人,成都,智能硬件-100-499人,"一、岗位职责：
1、负责对公司现有的图像、信号处理算法类产品进行维护和优化；
2、调研相关的传感器信号、计算机视觉前沿算法并将之优化、部署到实际产品之中；
3、评估和测试算法可行性及算法运行效果，根据实际需求进行分析改进；
4、撰写项目相关算法设计和开发文档。
二、","任职要求：
1、硕士及以上学历，数学、计算机、软件等相关数据计算类专业，
2、有扎实的数理基础，熟悉常见的数据结构与算法；
3、熟练使用python，有一定的C/C++基础，有CUDA编程硬化经验更佳;
4、熟悉OpneCV, 熟悉Scikit-learn, TensorFlow、PyTorch等一种或多种学习框架；
5、熟悉常见的神经网络结构，如ResNet、MobileNet及YOLO系列等；
6、具有模型的蒸馏、剪枝、量化，并成功部署到边缘计算设备项目经验的优先；
7、有脑电、心电、肌电、血压、血氧，心率、血氧、血压、运动识别相关经验者优先；
8、有GNN图卷积网络、人体姿态估计、知识图谱完整性项目经验优先。"
4,算法工程师,Java开发工程师（武汉）,15-21k·13薪,武汉-江夏区,3-5年-统招本科-Spring-jQuery-Mybatis-SpringMVC-框架开发-框架设计-Web开发-Java-消息队列,3-5年-统招本科-Spring-jQuery-Mybatis-SpringMVC-框架开发-框架设计-Web开发-Java-消息队列,北京数字政通科技股份有限公司,计算机软件-已上市-1000-2000人,武汉-江夏区,计算机软件-已上市-1000-2000人,"岗位职责
 1、参与新竞价交易系统风控、撮合、 行情集群、跟账服务等功能开发工作；
 2、参与新期权交易新系统后续版本迭 代工作；
 3、进行内存数据引擎设计、开发工作；
 4、进行分布式系统管理软件的设计和 开发。 
","岗位要求 
1、本科及以上学历（理工科专业方向），3 年以上软件开发工作经验； 
2、了解Go语言协程调度模型和内存模型； 
3、具备计算机与证劵金融领域复合背景及工 作经历，了解交易撮合等相关业务知识，具 备交易系统研发相关工作经验者优先；
 4、了解Linux操作系统，熟悉Go语言，了解 服务器开发、G4架构交付及新期权信创跟账 项目招标文件数据结构与算法，软件研发流 程等专业知识；
 5、具备编码和撰写文档的能力；
 6、具备一定的沟通能力和表达能力，有较强 的团队合作精神与团队协作能力。"
5,算法工程师,Golang开发工程师（马来西亚企业）,30-50k,深圳-南山区,3-5年-本科-服务器开发-架构设计-引擎开发,3-5年-本科-服务器开发-架构设计-引擎开发,DOUBLE KOI TECHNOLOGY SERVICES,区块链-50-99人,深圳-南山区,区块链-50-99人,"【福利待遇】
？竞争力的薪酬:为员工提供具有市场竞争力的薪酬，一年1-2次调薪机会；根据员工业绩表现及公司年度的目标达成情况发放业绩奖金，包括：年终奖、年度突破奖、特别贡献奖等；股票期权激励，核心员工依据个人贡献配置。
？员工福利：午餐补贴、出差补贴、交通补贴、通讯补贴。
？员工保障：入职即享有六险一金、定期体检。
？员工活动：定期团建，各类节日庆祝活动，羽毛球、篮球、乒乓球运动会等。
？职业通道：清晰明确的职业规划，专业线和管理线发展双通道，提供可持续发展的职业平台。

工作职责:
1、从事公司应用系统研开发
2、支持现有系统的分析和优化。改进系统，提高系统可用性和稳定性
3、重点应用项目的预研和方案实施，复杂问题解决以及技术难点攻关

","任职资格:
1、本科3年以上工作经验，计算机或相关专业；
2、熟悉java web开发，了解spring、springmvc、mybatis相关框架，有一定的使用经验；
3、熟悉BS模式开发，能熟练进行html、css3、java""script""相关开发，能熟练使用require js以及jquery等前端框架者优先；
4、java基础扎实，熟练掌握java io，多线程，网络等基础知识，熟悉基本数据结构与算法。有缓存中间件、消息中间件的使用经验者优先；
5、熟悉一种以上数据库并熟练运用SQL，具备Oracle数据库开发经验者优先；
6、思路清晰、学习能力强，勇于承担压力和挑战；
7、具有较强的上进心和较好的团队合作精神。"
6,算法工程师,高级Java开发工程师,20-25k,宁波-鄞州区,10年以上-统招本科-框架设计-框架开发-架构设计-容器,10年以上-统招本科-框架设计-框架开发-架构设计-容器,中软国际科技,IT服务-10000人以上,宁波-鄞州区,IT服务-10000人以上,1、,"岗位要求：
1.精通Java编程语言，对并发编程、数据结构与算法有深入理解。
2.熟悉常用的Java框架，如Spring、Spring Boot、Spring Cloud、Mybatis等。
3.熟悉常见的容器技术，如Docker、Kubernetes等。
4.熟悉常见的微服务架构，如基于Spring Cloud微服务框架的构建与部署、微服务治理、服务降级与熔断、服务网关等相关技术。
5.熟练掌握常见的数据存储技术，如MySQL、Redis、MongoDB等。
6.专业基础扎实，熟悉IO、多线程、集合等基础框架，熟悉分布式、缓存、消息等。
7.熟悉大数据量、高并发、高性能的分布式系统设计及应用、调优。
8.熟悉复杂系统的设计，确保系统的架构质量，指导和培训工程师不断进行系统优化。
9.具有较强的系统设计、分析和实现能力，能够独立完成高质量的代码编写，具备良好的代码质量、可读性和维护性。
10.具有良好的沟通能力和团队协作精神，能够与其他团队成员和业务部门合作，提供高质量的技术方案，协助解决技术难题，在团队中发挥重要作用。
11.具备一定的自我学习和持续学习的能力，能够独立研究并掌握新的技术，保持对技术的敏锐性。"
7,算法工程师,高级Java工程师,15-25k·14薪,武汉-东西湖区,5-10年-本科-系统开发-大数据领域-架构设计,5-10年-本科-系统开发-大数据领域-架构设计,九州通医药集团股份有限公司,制药-沪深A股上市-5000-10000人,武汉-东西湖区,制药-沪深A股上市-5000-10000人,"职责描述：
1. 负责自然语言处理算法研发、优化及应用，包括但不限于语音交互技术、问答技术、多轮对话技术、任务型机器人等；
2. 负责多轮对话相关算法的研发及应用，包括但不限于上下文理解、闲聊型对话、问答型对话、任务型对话等；
3. 负责对话系统、深度学习、强化学习、知识图谱等前沿相关算法的研发及应用；
4. 为智能问答、智能客服、在线机器人等人工智能相关项目提供解决方案，并进行研发、验证和优化。
","任职要求：
1、3年左右NLP相关经验，在自然语言处理等领域具有较为深入理解，能够独立项目研发。
2、计算机、信号处理、通信、自动化等相关专业，AI相关专业研究方向优先；
3、 熟悉问答对话、客服机器人、文本挖掘等业务场景、系统流程，有丰富经验优先。
4、熟练掌握python、c\c++等常用编程语言，具有linux下的开发经验；有良好的数据结构与算法基础，具备扎实的编程功底；
5、具pytorch、tensorflow等深度学习框架与自然语言处理结合实际项目经验者优先。
6、能跟踪业界与学业界的最新进展，具有较强的研究能力，逻辑思维能力强，善于沟通，具有团队精神，"
8,算法工程师,业务安全研发组_服务端研发工程师,20-40k·16薪,北京-海淀区,3-5年-本科-框架开发-框架设计,3-5年-本科-框架开发-框架设计,Baidu,互联网-美股上市-10000人以上,北京-海淀区,互联网-美股上市-10000人以上,"职责描述：
1.	负责基本于移动机器人平台的建图、定位、导航算法；
2.	负责基于激光SLAM的算法研究、实现与优化；
3.	负责相关算法的开发、测试、嵌入式设备中移植、优化及产品化；
","任职要求：
1.	硕士以上学历，有比较丰富的激光雷达相关开发经验；
2.	有扎实的数学基础，精通常见的几何、统计学等基本理论，并熟悉这些技术在激光雷达点云处理、视觉slam领域中的应用；
3.	熟练掌握C++、openCV库和常用的数据结构与算法；
4.	至少能够熟练使用一种slam的开源算法(gmapping, hector, cartographer)。
5.	熟悉软件开发工具和脚本语言不限于Git、CMake、python等；"
9,算法工程师,后端JAVA/GO开发工程师-容器技术,50-80k,北京,5-10年-统招本科-架构设计-云计算领域,5-10年-统招本科-架构设计-云计算领域,某北京大型互联网公司,互联网-不需要融资-10000人以上,北京,互联网-不需要融资-10000人以上,"岗位职责
1、负责信息系统总体架构设计、网络架构设计； 
2、负责系统平台模块开发工作，包括交换机IP协议栈和路由协议相关的架构设计、开发和维护；
3、负责新型网络通信技术应用、多几余架构组网设计、有线、无线异构融合组网设计等网络通信与信息应用领域的关键技术研究; 
4、负责相关通信核心产品核心、代码研发。 
","任职要求
1、通信、电子信息、计算机等相关专业，本科及以上学历; 
2、通交换机，路由器、PTN、SON等组网设备组网架构、传输原理、应用场景、适用模块； 
3、精通IP 协议栈和 PV4/6单播路由协议，如 OSPF/OSPF V3、RIP/RIPng、BGP、ISS等，精通IPV4/6组播路由协议，如IGMP PIM-DM/SM； 
4、热爱编程，熟悉掌握但不限于JAVA/C++/C/Python/GO等编程语言中的一种或数种，有良好的编程习4慢，熟悉数据结构与算法; 
5、有丰富的编程经验，有通信项目开发经验，能够独立完成产品设计和相关代码研发； 
6、具备独立工作能力和解决问题的能力，善于沟通，乐于台作，热衷新技术，善于总结分享，喜欢动手实操； 
所属行业:军工
职能分类:其他电子/通信/半导体
工作城市:岗位Base 北京/扬州都可，但需要人选可以接受两地出差的情况"
10,算法工程师,算法工程师（社招）,20-50k·14薪,杭州-余杭区,3-5年-统招本科,3-5年-统招本科,弈芯科技,计算机软件-1-49人,杭州-余杭区,计算机软件-1-49人,"岗位职责：
1.充分理解产品工程师提出的功能及性能需求，并沟协调最终方案
2.实现正确/合理/高效的数据结构和算法
3.自我验证功能的正确性/高效性

","岗位要求：
1.理工科专业本科及以上学历；
2.具有扎实的数学和物理基础，较强的分析能力与逻辑思维能力；
3.具有Linux环境下C/C++编程经验；
4.掌握数据结构和算法的分析与设计
5.了解图形算法、图像算法等；
6.能够阅读专业性较强的论文及文献资料；

加分项：有工业软件公司/EDA公司/半导体公司相关岗位工作经验。
PS：可以接受非半导体行业算法同学，更看重人的基础素质，数理思维，快速学习能力"
