序号,岗位类别,岗位名称,薪酬,地点,学历要求,经验要求,企业名称,企业规模,所属地域,所属行业,岗位职责,岗位要求
1,算法工程师,DSP算法及算法实现工程师,300-500k,南京-雨花台区,5-10年-本科-C/C++-DSP-以太网-FPGA,5-10年-本科-C/C++-DSP-以太网-FPGA,南京奕泰微电子技术有限公司,科技推广服务-战略投资-1-49人,南京-雨花台区,科技推广服务-战略投资-1-49人,,
2,算法工程师,DSP算法及算法实现工程师,100-200k·15薪,南京-雨花台区,经验不限-统招本科-算法开发-基带算法-信号处理-算法设计-PCA算法-GA算法-SA算法-算法研究,经验不限-统招本科-算法开发-基带算法-信号处理-算法设计-PCA算法-GA算法-SA算法-算法研究,某知名公司,科技推广服务-战略融资,南京-雨花台区,科技推广服务-战略融资,,
3,算法工程师,dsp算法工程师,30-60k,上海-闵行区,5-10年-本科-DSP,5-10年-本科-DSP,济南邦德激光股份有限公司,机械/设备-1000-2000人,上海-闵行区,机械/设备-1000-2000人,"1. 负责DSP(TI C2000系列、C6000系列)平台下软件开发；
2. 根据具体应用实现伺服控制算法开发以及调试；
3. 根据具体应用编写各类数字信号处理算法；
4. 测试数据仿真分析；
5.负责需求分析、固件应用设计、应用接口设计和文档撰写；
6. 参与设备控制性能的调试。
","岗位要求：
1. 测控，机电，机械电子，自动化等相关专业，本科及以上学历；
2. 熟练掌握C/C++，汇编语言，有嵌入式编程基础与良好习惯；
3. 熟悉嵌入式系统应用软件开发流程；
4. 掌握控制理论基础扎实，掌握数字信号处理；
5. 掌握DSP以及CCS编译工具的运用；
6. 熟悉DSP中CPU内部架构原理，了解硬件相关方面的知识；
7. 了解电子电气等硬件基础知识和理论；
8. . 有较强的自主学习能力，责任心强，具备良好沟通能力与团队合作意识。"
4,算法工程师,DSP算法专家,20-50k·13薪,上海-闵行区,经验不限-统招本科-控制算法-算法开发-C++,经验不限-统招本科-控制算法-算法开发-C++,济南邦德激光股份有限公司,机械/设备-1000-2000人,上海-闵行区,机械/设备-1000-2000人,"职责描述;
1.负责DSP(TI C2000系列、C6000系列)平台下软件开发；
 2.根据具体应用实现伺服控制算法开发以及调试；
 3.根据具体应用编写各类数字信号处理算法；
4.测试数据仿真分析； 
5.负责需求分析、固件应用设计、应用接口设计和文档撰写；
6.参与设备控制性能的调试。
","任职资格：
1.测控，机电，机械电子，自动化等相关专业，本科及以上学历； 
2.熟练掌握C/C++，汇编语言，有嵌入式编程基础与良好习惯； 
3.熟悉嵌入式系统应用软件开发流程； 
4.掌握控制理论基础扎实，掌握数字信号处理； 
5.掌握DSP以及CCS编译工具的运用； 
6.熟悉DSP中CPU内部架构原理，了解硬件相关方面的知识；
7.了解电子电气等硬件基础知识和理论； 
8. 有较强的自主学习能力，责任心强，具备良好沟通能力与团队合作意识。"
5,算法工程师,DSP算法专家,20-40k,上海,3-5年-本科,3-5年-本科,济南邦德激光股份有限公司,机械/设备-1000-2000人,上海,机械/设备-1000-2000人,"岗位职责：
1.负责DSP(TI C2000系列、C6000系列)平台下软件开发；
2. 根据具体应用实现伺服控制算法开发以及调试；
3. 根据具体应用编写各类数字信号处理算法；
4. 测试数据仿真分析；
5.负责需求分析、固件应用设计、应用接口设计和文档撰写；
6.参与设备控制性能的调试。
","任职要求：
1.测控，机电，机械电子，自动化等相关专业，本科及以上学历；
2.熟练掌握C/C++，汇编语言，有嵌入式编程基础与良好习惯；
3.熟悉嵌入式系统应用软件开发流程；
4.掌握控制理论基础扎实，掌握数字信号处理；
5.掌握DSP以及CCS编译工具的运用；
6.熟悉DSP中CPU内部架构原理，了解硬件相关方面的知识；
7.了解电子电气等硬件基础知识和理论； 有较强的自主学习能力，责任心强，具备良好沟通能力与团队合作意识。"
6,算法工程师,DSP算法专家,20-40k,上海-闵行区,经验不限-本科,经验不限-本科,济南邦德激光股份有限公司,机械/设备-1000-2000人,上海-闵行区,机械/设备-1000-2000人,"岗位职责：
1.负责DSP(TI C2000系列、C6000系列)平台下软件开发；
2. 根据具体应用实现伺服控制算法开发以及调试；
3. 根据具体应用编写各类数字信号处理算法；
4. 测试数据仿真分析；
5.负责需求分析、固件应用设计、应用接口设计和文档撰写；
6.参与设备控制性能的调试。
","任职资格：
1.测控，机电，机械电子，自动化等相关专业，本科及以上学历；
2.熟练掌握C/C++，汇编语言，有嵌入式编程基础与良好习惯；
3.熟悉嵌入式系统应用软件开发流程；
4.掌握控制理论基础扎实，掌握数字信号处理；
5.掌握DSP以及CCS编译工具的运用；
6.熟悉DSP中CPU内部架构原理，了解硬件相关方面的知识；
7.了解电子电气等硬件基础知识和理论；
8.有较强的自主学习能力，责任心强，具备良好沟通能力与团队合作意识。"
7,算法工程师,空间激光通信DSP算法工程师,25-35k,成都,经验不限-博士,经验不限-博士,某成都电子/半导体/集成电路公司,电子/半导体/集成电路-100-499人,成都,电子/半导体/集成电路-100-499人,,
8,算法工程师,空间激光通信DSP算法工程师,25-35k,成都,经验不限-博士-DSP-ARM-软件开发-R语言-D语言,经验不限-博士-DSP-ARM-软件开发-R语言-D语言,某成都电子/半导体/集成电路公司,电子/半导体/集成电路-100-499人,成都,电子/半导体/集成电路-100-499人,"岗位职责：
1.开展面向高速空间激光通信的先进DSP算法研究工作；
2.负责空间激光通信系统DSP算法的设计、仿真、优化、硬件实现、测试及数据分析，以及DSP算法及软件的开发及维护；
3.完成需求确认、设计和测试文档编写、系统调试和缺陷跟踪；
4.参与空间激光通信系统链路集成测试。
","任职要求：
1.博士学位，通信与信息系统、信号与信息处理、机器学习等相关专业；
2.熟悉TI DSP或ARM开发环境，精通C语言；
3.具有1年以上DSP软件开发相关经历。
4.具有高速相干光通信DSP算法、机器学习均衡算法等研究经验者优先。
5.具备独立分析和解决问题能力，具有良好的团队合作精神和沟通能力，品行端正、有责任心。

"
9,算法工程师,空间激光通信DSP算法工程师,25-35k,成都,经验不限-博士-DSP-光通信DSP算法,经验不限-博士-DSP-光通信DSP算法,某电子/半导体/集成电路公司,电子/半导体/集成电路-100-499人,成都,电子/半导体/集成电路-100-499人,"岗位职责：
1.开展面向高速空间激光通信的先进DSP算法研究工作；
2.负责空间激光通信系统DSP算法的设计、仿真、优化、硬件实现、测试及数据分析，以及DSP算法及软件的开发及维护；
3.完成需求确认、设计和测试文档编写、系统调试和缺陷跟踪；
4.参与空间激光通信系统链路集成测试。
","任职要求：
1.博士学位，通信与信息系统、信号与信息处理、机器学习等相关专业；
2.熟悉TI DSP或ARM开发环境，精通C语言；
3.具有1年以上DSP软件开发相关经历。
4.具有高速相干光通信DSP算法、机器学习均衡算法等研究经验者优先。
5.具备独立分析和解决问题能力，具有良好的团队合作精神和沟通能力，品行端正、有责任心。"
10,算法工程师,Audio & Video DSP 算法开发,45-55k·13薪,上海-闵行区,5-10年-本科-算法开发-C++-C/C++-C语言,5-10年-本科-算法开发-C++-C/C++-C语言,龙擎视芯(上海)集成电路有限公司,电子/半导体/集成电路-50-99人,上海-闵行区,电子/半导体/集成电路-50-99人,"岗位职责：
1.算法开发: 为音频、视频、通信等各种应用设计和开发先进的 DSP 算法。
2.仿真与建模: 使用仿真工具对开发的 DSP 算法的性能进行建模和验证。
3.优化: 优化 DSP 算法的性能、内存使用和嵌入式平台上的功耗。
4.测试与验证: 开发并执行测试计划，以验证 DSP 软件的功能、性能和稳健性。
5.文档: 记录设计、开发和测试过程，包括规格、测试结果和设计理由。
6.合作: 与硬件工程师、系统架构师和其他软件工程师紧密合作，确保系统的最合适性能并达到项目目标。
7.持续学习: 了解 DSP 技术、算法、嵌入式系统和行业最合适实践的最新进展。
8.调试: 及时解决软件缺陷和问题。
9.指导: 为初级 DSP 软件工程师和其他团队成员提供指导和指导。

","岗位要求：
1.教育背景：电子工程、计算机工程或与DSP和嵌入式系统相关的领域的学士或硕士学位。
2.相关经验：在 DSP 软件开发和嵌入式系统方面有多年的经验。
3.技术专业知识：对 DSP 理论、技术和应用有深入的了解。
4.编程能力：精通 C 或 C++ 等嵌入式编程语言。熟悉嵌入式操作系统和实时约束。
6.个人特质：出色的解决问题和分析能力。
7.团队协作：强烈的沟通和合作能力。
"
11,算法工程师,数字信号处理算法工程师,20-30k·14薪,广州-黄埔区,1-3年-统招本科-算法优化-优化算法-算法研究-Matlab,1-3年-统招本科-算法优化-优化算法-算法研究-Matlab,高勘(广州)技术有限公司,通信设备-A轮-100-499人,广州-黄埔区,通信设备-A轮-100-499人,"一、岗位职责：
与硬件、嵌入式、FPGA及机器学习算法工程师协作，负责公司产品中数字信号处理算法研究、链路性能评估及优化，交付高性能、可实现的数字信号处理算法模块。
二、","任职要求：
1. ""***""高校本科或硕士毕业，电子工程、计算机科学、自动控制、数学、物理等相关专业背景；信号时频分析
2.熟悉数字信号处理的基础理论，能进行数字信号处理算法仿真；
3.具有一定的信号去噪和滤波处理经验，理解小波分析、EMD等信号时频分析工具原理；
4.具备基本的英文文档阅读能力、具备较好的自主快速学习能力；
5.加分项：具备基本的光子感知理论基础或实践经验；具备基本的FPGA开发基础。"
12,算法工程师,DSP图像算法移植开发工程师,15-35k,深圳,1-3年-硕士-图像处理-dsp开发,1-3年-硕士-图像处理-dsp开发,豪恩集团,电子/半导体/集成电路-1000-2000人,深圳,电子/半导体/集成电路-1000-2000人,"一、岗位职责：
1、公司现有AVM 360全景标定和拼接图像算法软件的优化移植、完善和维护。
2、基于新产品或新功能的DSP图像处理算法开发、移植和维护。
3、新型DSP平台预研，驱动程序的开发和维护，以及相关算法代码的移植。
4、编写DSP算法软件开发方案，开发计划以及算法DSP软件设计文档。
5、根据需要，计划安排DSP开发类相关基础培训工作。
二、","任职要求：
1、电子、通信、计算机或应用数学等相关专业硕士及以上学历。
2、两年以上TI DSP系列实际项目开发经验且精通DSP算法移植优化；有开发过360全景产品者优先。
4、精通DSP结构原理并熟练掌握C和汇编混合编程方法、优化技术、实时操作系统、多核编程技术、DSP加载技术。
5、具备良好的英文阅读能力 ，熟悉常见的视频图像处理、模式识别相关算法。
6、具有强烈的责任心、良好的沟通能力、拼搏奋斗精神和团队合作意识。

注：提供食宿，全额购买公积金"
13,算法工程师,DSP算法工程师,50-80k·14薪,上海,经验不限-学历不限-算法开发-校验算法-Python-Matlab,经验不限-学历不限-算法开发-校验算法-Python-Matlab,某上海专业技术服务公司,专业技术服务-战略融资,上海,专业技术服务-战略融资,,
14,算法工程师,DSP算法工程师,20-30k·15薪,成都-郫都区,3-5年-本科-雷达-DSP-算法研发,3-5年-本科-雷达-DSP-算法研发,某知名公司,人力资源服务-战略融资-5000-10000人,成都-郫都区,人力资源服务-战略融资-5000-10000人,,
