序号,岗位类别,岗位名称,薪酬,地点,学历要求,经验要求,企业名称,企业规模,所属地域,所属行业,岗位职责,岗位要求
1,软件开发工程师,前端工程师(J18314),6-10k,重庆,3-5年-本科-界面开发-前端开发,3-5年-本科-界面开发-前端开发,重庆工业大数据创新中心有限公司,云计算/大数据-战略投资-100-499人,重庆,云计算/大数据-战略投资-100-499人,"职责描述：
1.负责公司软件产品及软件项目前端页面的详细设计。
2.负责公司软件产品及软件项目前端页面的代码实现。
3.负责公司软件产品及软件项目前端页面的安装部署。
4.负责公司软件产品及软件项目前端页面的运营与维护。
5.负责公司前端开发工具的研发与上线工作。
6.领导安排的其他工作。
","任职要求：
1.学历及专业：本科及以上。计算机、通信、自动化等相关专业。
2.工作技能：
(1)熟练掌握HTML、CSS、Javascript、Ajax等能力，能够独立完成基于产品原型或UI设计的前端页面和业务功能的研发工作者优先。
(2)熟练掌握基于Vue框架的前端Web项目，熟悉Uni-App框架的相关研发工作优先。
(3)拥有良好的够沟通能力，能够主动与产品设计与UI设计工程师进行沟通并形成落地产品，具备基本的审美能力，有效提高待交付产品的用户体验。
(4)参与过多人协作的软件研发项目，熟悉前后端分离的研发协作模式，能够与后端研发工程师建立良好的沟通和协作。
(5)拥有良好的工程师思维和代码习惯，结构清晰，命名规范，逻辑性强优先。"
2,软件开发工程师,高级Web前端,10-13k,郑州-管城区,5-10年-本科-前端开发-架构设计-界面开发-Koa-Javascript-ECMAScript 6-ECMAScript-Webpack-Gulp,5-10年-本科-前端开发-架构设计-界面开发-Koa-Javascript-ECMAScript 6-ECMAScript-Webpack-Gulp,点开网络,互联网-1-49人,郑州-管城区,互联网-1-49人,"职责描述：
1、负责公司产品或项目前端研发，并配合后端的开发；
2、针对产品需求，分析并给出对应的页面前端架构解决方案；
3、独立承担工作任务把控任务进度及把控代码质量，定期维护并更新前端开发规范；
","任职要求：
1、全日制本科及以上学历，计算机软件或互联网专业优先；
2、计算机软件或互联网行业，相关工作经验5年及以上；
3、有带过前端团队3人以上，参与并主导并设计过多个大型复杂项目，有复杂项目架构设计能力；
4、有PC/H5/小程序等不同平台的项目开发经验；
5、精通javascript/ES6，熟练使用Vue3、Vue2框架独立搭建前端项目并熟悉其原理；
6、熟练使用webpack/vite/gulp等构建工具，熟悉loader/plugin；
7、熟悉浏览器渲染原理，网络基础，构建工具掌握常见前端优化手段持续对项目进行性能优化；
8、熟悉Node，Koa等框架，熟悉接口规范，具备一定的接口开发能力；
9、独立的分析思考能力，热爱钻研新技术，自我工作标准高，善于主动沟通，有团队合作精神，对业界新技术保持较强的敏感度；"
3,软件开发工程师,IT运维工程师,6-8k,淄博-张店区,1-3年-本科-SQL,1-3年-本科-SQL,安得医疗,医疗器械-1000-2000人,淄博-张店区,医疗器械-1000-2000人,,"任职资格：

1、本科及以上学历，计算机、信息管理与信息系统等相关专业；

2、1年以上生产制造型企业应用系统运维经验，熟悉SQLServer、MYSQL数据库，具备SQL语言初级应用技能；熟悉CSS、JS等Web前端技术，具备JAVA或C#开发语言的初级应用技能；

3、逻辑思维清晰，有较强的独立思考能力和分析解决问题能力；

4、有良好的沟通能力、人际交往能力和组织协调能力。

岗位职责：

1、负责ERP、CRM、WMS等应用系统的运维工作；

2、负责ERP物料档案的添加和维护工作；

3、负责信息系统SOP操作规程、软件确认等文件的撰写；

4、负责利用帆软报表软件进行电子报表的开发工作；

5、领导交办的其他工作。"
4,软件开发工程师,WEB前端研发工程师,10-15k·14薪,南京-江宁区,1-3年-统招本科-Javascript-HTML5-Vue-Echarts-ElementUI,1-3年-统招本科-Javascript-HTML5-Vue-Echarts-ElementUI,优速网络科技,计算机软件-融资未公开-100-499人,南京-江宁区,计算机软件-融资未公开-100-499人,"职责描述：
1. 负责系统前端页面模块的设计、编码实现和与后台的交互。
2. 优化前端的体验，并能解决不同分辨率下弹性自适应布局。
3. 积极响应产品需求并进行开发和交付。
4. 参与产品的架构优化，性能优化并辅助其他模块进行技术实现。
5. 热衷于前端开源项目技术研究，对可视界面有一定的美感。




","任职要求：
1. 计算机及相关专业，本科及以上学历，有1年以上前端开发经验者优先；
2. 精通JavaScript、jQuery、Ajax等前端技术，熟悉HTML5/CSS3，熟悉W3C标准；
3. 熟练运用Vue框架，有Vue项目经验，能够使用Vue进行组件开发，项目框架构建优化；
4. 熟练使用Echarts图表库开发大屏页面、掌握主流的UI组件库(不限于ElementUI、iView)；
5. 熟练使用git、node、webpack等常见的开发工具；
6. 能与后端开发工程师友好的沟通合作，保证产品研发工作的质量和进度，有视频等多媒体开发经验优先；
7. 良好的沟通能力，可以对研发任务分解、需求细化、关键技术评估等。"
5,软件开发工程师,技术测试岗（前端自动化测试方向）,15-18k·20薪,重庆,经验不限-本科-Web测试-软件测试-自动化测试-功能测试-系统测试,经验不限-本科-Web测试-软件测试-自动化测试-功能测试-系统测试,某上市银行总行,银行-已上市-500-999人,重庆,银行-已上市-500-999人,"岗位职责：
1、负责前端自动化测试工作，设计、开发和实现测试用例及测试流程。
2、熟练掌握各种自动化测试框架和工具，录制、编写自动化测试脚本，实现对功能测试案例的自动化回归。
3、负责分析应用程序中的缺陷，与开发团队合作，提出解决方案，定期回顾现有的测试策略和流程，保证测试的有效性和完整性。
4、查明自动化回归中出现的各种问题的原因，并持续优化自动化测试脚本。
5、在对目标系统及其测试案例足够熟悉之后，需统一规划管理，将重复度高的脚本独立成公共模块，供多个案例重复使用，提高脚本编写效率。
","岗位要求：
1、具有较强的团队合作意识，能够与开发团队积极沟通，提升测试效率。
2、熟悉各种主流浏览器（如chrome、firefox、edge等），对浏览器脚本和开发者工具有一定的使用经验。
3、熟悉HTML标记语言结构、常用标签，掌握css-selector等页面元素定位方法。
4、掌握至少一种代码编写工具，如vscode等。
5、具有一定的脚本或代码经验，熟悉条件控制、循环控制、函数、异常处理、并行、同步异步等基本的编程思想。
6、了解Selenium、Cypress等web自动化测试工具。
7、了解JavaScript、JSON等基础知识。
8、具有较强的学习适应能力，对于不熟悉的软件、业务需求、测试案例，经简单培训后，能快速上手，并理清业务流程。
9、熟悉表格类办公软件（如excel、wps），特别是实用函数的使用。
"
6,软件开发工程师,WEB前端开发工程师,10-17k,上海-杨浦区,1-3年-本科-前端开发-框架开发-框架设计-移动开发-Javascript,1-3年-本科-前端开发-框架开发-框架设计-移动开发-Javascript,上海蓝鹊,制药-天使轮-100-499人,上海-杨浦区,制药-天使轮-100-499人,"工作职责
1、负责前端H5、小程序等前端业务需求设计以及开发；
2、具有前端工程化，组件化开发经验，按时高质量实现业务诉求
3、持续优化技术，提高产品用户体验，能迭代平台组件库建设
4、驱动自身与产品/UI/测试/后端团队密切合作，进行系统整合开发，推进项目满足业务诉求


","任职资格
1、本科及以上学历，软件等相关专业 
2、精通Javascript， H5，CSS3，自适应布局
3、熟悉主流的前端应用开发框架，如VUEJS，React，JQuery等及其类库，有丰富的PC和移动端开发，兼容性，性能优化经验
4、熟悉Photoshop\AI\Axure等相关平面设计软件"
7,软件开发工程师,前端开发,10-15k,深圳,3-5年-统招本科-Echarts-D3.js-Javascript-电商领域-商业信息化-银行领域-保险领域-大数据领域-云计算领域-金融领域,3-5年-统招本科-Echarts-D3.js-Javascript-电商领域-商业信息化-银行领域-保险领域-大数据领域-云计算领域-金融领域,某知名公司,人工智能-C轮-500-999人,深圳,人工智能-C轮-500-999人,"
岗位职责：
1.负责数据分析平台的web前端开发，场景包括各类报表开发、自定义报表、图表可视化、画布和拖拽、动画等；
2.负责数据分析平台的前端架构设计、前端组件库的建设、优化Web页面性能、解决不同浏览器兼容性问题；
3.通过技术手段，提升用户体验并满足高性能要求；
","岗位要求：
1.软件工程，计算机或相关专业；
2.计算机基础扎实，热爱编程，扎实的编程能力；
3.了解d3js, 熟练使用echart等；
4. 熟练掌握 JavaScript，熟练掌握一种前端开发框架，如React等；
5.掌握git使用,有良好的代码风格习惯；
6.具备较强的责任感、团队合作精神
重点：
至少2年前端开发经验，熟悉react 框架

"
8,软件开发工程师,高级/资深前端开发工程师,20-30k,广州-黄埔区,5-10年-大专-web开发-Javascript-HTML-CSS-Vue-React,5-10年-大专-web开发-Javascript-HTML-CSS-Vue-React,新疆华奕新能源科技有限公司,新能源-融资未公开-100-499人,广州-黄埔区,新能源-融资未公开-100-499人,"
【岗位职责】
1.负责公司物联网平台产品的前端开发和维护工作，确保系统的稳定性和性能；
2.负责分析和解决前端技术问题，提出合理的解决方案；
3.根据项目需求，参与前端技术选型和方案设计，提供专业的技术建议；
4.负责前端代码编写、测试和优化，保证代码质量和安全性；
5.配合团队成员完成项目进度和其他相关任务。
【","任职资格】
1.大专、本科及以上学历，5年以上前端领域开发经验，有系统核心功能模块设计、架构搭建经验；
2.至少独立负责过一个业务板块的整体前端技术，并能够系统化的架构文档输出，在前端的性能优化、组件化和模块化方面的实践经验有一定积累； 
3.对用户体验有追求，积极思考产品的前端体验问题，并提出自己的建议。热衷前端的前沿技术学习和实际的应用；能保持对前沿知识的跟进和理解； 
4.精通各种web前端技术 (HTML/CSS/JavaScript），掌握主流前端框架的源码实现(React/Vue)，理解框架背后的思想，可以持续改进完善业务框架；熟悉前端工程化工具，如CI/CD流水线、webpack、Vite等； 
5.有大屏/BIM 3D可视化开发经验者优先。"
9,软件开发工程师,高级软件测试工程师（前端测试方向）,15-30k·15薪,南京-江宁区,经验不限-本科-自动化测试-单元测试-回归测试-Python-Shell,经验不限-本科-自动化测试-单元测试-回归测试-Python-Shell,汇川技术,工业自动化-沪深A股上市-10000人以上,南京-江宁区,工业自动化-沪深A股上市-10000人以上,"工作职责：
1、负责数字化平台前端模块测试工作，能够主导完成测试方案及测试计划制定，跟踪测试进度，保障项目质量
2、参与数字化平台需求评审、设计评审，并提出优化改进意见
3、能够独立执行测试任务，完成测试用例编写、测试用例评审、测试执行、回归及测试报告输出全流程
4、不断学习新的测试技术和工具，输出经验文档并组织分享赋能
5、优化组织流程，提升测试效率
","任职资格
1、具备低代码平台测试经验，对组件、平台的有较强的测试思路
2、有质量保障的思路
3、熟悉python、javascript、CSS、HTML5、shell语言，具备测试工具或脚本开发能力，可以独立编写测试辅助工具或脚本。
4、熟悉常用的测试工具，禅道、xmind、jmeter、postman、mysql、mongodb、redis等
5、熟悉自动化测试框架，如pytest、unitest、RF、selenium等，能够根据框架要求编写自动化测试脚本
6、熟悉TCP/IP协议及互联网常见应用和协议的原理
7、对数据结构有一定的了解
8、具备较高的质量意识、团队合作意识、良好的沟通和理解能力、系统化思考能力"
10,软件开发工程师,外贸主管（国外出差）,15-25k,苏州-工业园区,5-10年-本科-客户管理-贸易/进出口-市场洞察,5-10年-本科-客户管理-贸易/进出口-市场洞察,皇珈叉车,机械/设备-融资未公开-100-499人,苏州-工业园区,机械/设备-融资未公开-100-499人,,
