序号,岗位类别,岗位名称,薪酬,地点,学历要求,经验要求,企业名称,企业规模,所属地域,所属行业,岗位职责,岗位要求
1,通信技术工程师,FPGA工程师,18-23k·14薪,长沙-岳麓区,3-5年-统招本科-Xilinx-Verilog-Altera,3-5年-统招本科-Xilinx-Verilog-Altera,拜安科技,通信设备-100-499人,长沙-岳麓区,通信设备-100-499人,"岗位职责：
1.使用Xilinx、Altera等主流FPGA器件以及环境进行项目开发。
2.负责产品的FPGA功能需求开发、原理设计、代码编写、测试文档编写、设备调试。
3.负责与硬件人员、上位机软件人员、嵌入式单片机开发人员、测试人员等功能对接与测试。

","任职资格：
1.本科及以上学历，硕士优先，3年及其以上工作经历；通信、电子、计算机等相关专业优先。
2.有从事通信行业尤其是光纤通信行业者优先。
3.熟练掌握Verilog语言。
4.CET-4及其以上英文阅读能力；具备较强的与人工作沟通能力。
5.优秀的文档撰写能力。"
2,通信技术工程师,光纤光缆研究团队博士后,30-35k,杭州-余杭区,经验不限-博士,经验不限-博士,之江实验室,人工智能-2000-5000人,杭州-余杭区,人工智能-2000-5000人,"职位描述

项目介绍

项目组围绕新型光纤光缆、高性能传感器件及先进感知技术开展研究，致力于从光纤源头创新出发，推动光纤传感技术向高性能、智能化的方向发展，结合光纤传感应用系统开发，解决深地、深海和深空探测领域，光纤传感技术遇到的重大难题与挑战。


导师介绍

严国锋，之江实验室光纤传感研究中心研究专家；长期从事传感光纤光缆设计制备、微结构光纤传感器件设计制备、光纤气体传感技术、分布式光纤传感系统应用等。博士毕业于浙江大学光及电磁波研究中心；曾在加拿大蒙特利尔工学院物理系进行联合培养，从事太赫兹微结构光纤波导器件研究；在Optics Letters、Optics Express，Sensors and Actuators B、Advanced Optical Materials等国际知名学术期刊发表学术论文30余篇，会议论文20余篇，引用750余次；“Silk Foam Terahertz Waveguides”的工作被Nature Photonics 在Terahertz Optics专题中 Research Highlight报道；特邀会议报告2次，获最佳会议（板报）论文奖3次；授权发明专利 8项，实质性公开4项。担任《Photonic Sensors》期刊主编助理；荣获2019年浙江省首届青年数字经济“鸿鹄奖”；作为子课题负责人参与“光纤分布式传感系统”项目，获2020年度之江实验室“十大科研进展”。
主持完成国家自然科学基金青年基金项目，浙江省自然基金青年基金项目以及博士后面上基金等项目；在研项目包括：国家自然基金区域联合重点项目（子课题负责人）；之江实验室重大攻关项目（子课题负责人）；之江实验室重大合作项目（项目负责人）；之江实验室研究院自立创新项目（项目负责人）；之江实验室重大科研平台建设项目（实际负责人）。


研究方向（包括但不限于）

新型传感/传输光纤、超灵敏多参量光纤传感器/系统、高性能光纤传感网络等


申请流程

1.完成线上岗位申请并提交，或将所需材料发送至博管办邮箱（标明投递岗位）；
2.初审合格者进入博士后招收流程；
3.确定人选后，签署招收协议；
4.办理进站手续并报到。


薪资待遇

1.提供年薪税前40万元；
2.对获得中国博士后科学基金资助、浙江省博士后科研项目择优资助的博士后研究人员给予1：1科研经费配套；
3.入选博士后创新人才支持计划、博士后国际交流计划引进项目的博士后研究人员，相关待遇可叠加;
4.按国家有关规定缴纳五险一金；
5.提供住房保障（含实物住房或住房补贴），总体由实验室统筹安排；
6.出站考核等级为优秀和良好者可续聘；
7.出站考核优秀、且留实验室工作的博士后研究人员，可通过职称评审“直通车”评审副高级专业技术职称；
8.鼓励博士后到国内外一流高校、研究机构访学交流，并提供一定的保障。


","任职要求

应聘条件

1. 具有知名大学工学博士学位，博士毕业3年内，具有海外研究背景的优先；
2. 光学工程、物理化学、材料科学与工程、信号处理等相关专业，具备光纤研发、光纤传感研究经验者优先；
3. 能熟练应用Matlab、Rsoft、Comsol等相关设计和仿真软件；
4. 具备较强的跨学科自主学习能力，工作积极主动；
5. 具有良好的学术道德，严谨的科学态度，良好的沟通能力及团队合作精神。"
3,通信技术工程师,光纤传感工程师,20-35k·13薪,深圳-光明区,经验不限-大专,经验不限-大专,某深圳机械/设备公司,机械/设备-其他-50-99人,深圳-光明区,机械/设备-其他-50-99人,"
光纤传感工程师关键词：公司：西安和其光电、深圳阿柯法、苏州英迪戈。荧光光纤传感、砷化镓光纤传感 、温度光纤传感  设计开发  研发人员
岗位职责
1.负责光纤传感器的设计、研发、试验、验证等工作；
2.负责光纤传感器的可靠性工艺研究；
3.负责与用户的技术交流、技术方案宣讲、应用系统演示、培训等工作；                                                 
4.负责和电子工程师配合完成光纤传感系统的调试工作；
5.擅长几何光学系统设计，了解光电比色及显微镜成像原理；
6.熟练使用光学专业设计软件进行光路的仿真和计算；
7.熟悉各种光学器件的性能、选型以及供应商渠道，并对相关产品的设计和工艺有所了解；
8.绘制光学零件图及产品光路图，分析筛选适用光学元器件，设计并动手实验检测元器件性能；
9.按照项目要求，对项目选型提供参考相关信息和意见，推动模组的定期审核、制程改善、工艺和管理优化，确保产品量产性能；
10.项目整机性能研究、校准工装研发，产品的溯源、校准、检验流程建立；
11.产品研制各个阶段光学部分技术文档的撰写与审查。
","任职要求
1.光纤传感专业硕士及以上学历，具备5年以上光纤传感专业的工作经历；
2.掌握光学基础知识，掌握砷化镓光纤传感原理及特性，砷化镓光纤制作工艺；掌握荧光光纤传感原理及特性、荧光光纤制作工艺（以上两种技术均掌握者为佳）；
3.掌握砷化镓光纤传感器、荧光光纤传感器的测试规范和方法；
4.了解光纤传感行业的最新技术和应用领域；
5.熟练掌握光谱仪、频谱仪等光学仪器设备，有较强的实际动手和学习能力；
6.熟练使用传感器生产测试所用设备（熔接机、光谱仪、单纤维测试仪、ODTR等）；
7.具备良好的语言文字编辑能力、沟通与协调能力及良好的团队意识；
8.工作细致，积极上进，责任心强，保密意识强；
9.为人正直，责任性强，能独立工作，良好的执行力，具备团队合作精神，抗压能力好。
"
4,通信技术工程师,光纤传感工程师,25-40k,深圳,1-3年-大专,1-3年-大专,某深圳机械/设备公司,机械/设备-其他-50-99人,深圳,机械/设备-其他-50-99人,"光纤传感工程师
关键词：公司：西安和其光电、深圳阿柯法、苏州英迪戈。荧光光纤传感、砷化镓光纤传感 、温度光纤传感  设计开发  研发人员
岗位职责
1.负责光纤传感器的设计、研发、试验、验证等工作；
2.负责光纤传感器的可靠性工艺研究；
3.负责与用户的技术交流、技术方案宣讲、应用系统演示、培训等工作；                                                 
4.负责和电子工程师配合完成光纤传感系统的调试工作；
5.擅长几何光学系统设计，了解光电比色及显微镜成像原理；
6.熟练使用光学专业设计软件进行光路的仿真和计算；
7.熟悉各种光学器件的性能、选型以及供应商渠道，并对相关产品的设计和工艺有所了解；
8.绘制光学零件图及产品光路图，分析筛选适用光学元器件，设计并动手实验检测元器件性能；
9.按照项目要求，对项目选型提供参考相关信息和意见，推动模组的定期审核、制程改善、工艺和管理优化，确保产品量产性能；
10.项目整机性能研究、校准工装研发，产品的溯源、校准、检验流程建立；
11.产品研制各个阶段光学部分技术文档的撰写与审查。
","任职要求
1.光纤传感专业硕士及以上学历，具备5年以上光纤传感专业的工作经历；
2.掌握光学基础知识，掌握砷化镓光纤传感原理及特性，砷化镓光纤制作工艺；掌握荧光光纤传感原理及特性、荧光光纤制作工艺（以上两种技术均掌握者为佳）；
3.掌握砷化镓光纤传感器、荧光光纤传感器的测试规范和方法；
4.了解光纤传感行业的最*xin技术和应用领域；
5.熟练掌握光谱仪、频谱仪等光学仪器设备，有较强的实际动手和学习能力；
6.熟练使用传感器生产测试所用设备（熔接机、光谱仪、单纤维测试仪、ODTR等）；
7.具备良好的语言文字编辑能力、沟通与协调能力及良好的团队意识；
8.工作细致，积极上进，责任心强，保密意识强；
9.为人正直，责任性强，能独立工作，良好的执行力，具备团队合作精神，抗压能力好"
5,通信技术工程师,激光光纤相关专业人才,10-30k,苏州-吴江区,经验不限-硕士,经验不限-硕士,江苏亨通光纤科技有限公司,通信设备-500-999人,苏州-吴江区,通信设备-500-999人,"职责描述：
1）	负责有源光纤的产品技术研发，组织团队核心技术问题攻关；
2）	协助部门/公司完成有源光纤技术、产品研制的年度研究计划和长期发展规划；
3）	支撑部门/公司申报有源光纤产品相关的横向和纵向研究课题，根据公司部署开展相关工作；
4）	对有源光纤的客户技术服务和市场推广提供必要的支持；
5）	负责特种通信光纤产品技术研发，带领项目团队攻关技术工作；
6）	协助部门/公司完成特种通信光纤技术、产品研制的年度研究计划和长期发展规划；
7）	支撑部门/公司申报特种通信光纤产品相关的横向和纵向研究课题，根据公司部署开展相关工作；
8）	对特种通信光纤的客户技术服务和市场推广提供必要的支持；
9）	完成上级的交代的其他工作任务。
","任职要求：
1、年龄要求：25岁以上；
2、工作经验：有有源光纤产品和MCVD相关经验者，国外Nufern、Liekki，国内长进、睿芯、长飞等有过相关从业经验者优先；
3、基本素质和技能要求：
1）材料、光学、电子信息等相关专业，硕士及以上学历。
2）了解光纤激光行业动态，了解硅酸盐基玻璃材料掺杂理论，有源光纤制备工艺。
3）具备稀土掺杂材料的理论知识和实际工艺操作经验，对MCVD和等离子沉积装备和制备工艺有较深的理解和研发经历，或研究生阶段从事有源光纤相关课题研究。
4）对有源光纤有较深的研究，对产品的性能测试和应用有较深的认知和理解，对有源光纤的实际应用场景有一定的理解。
5）具备较强的研发项目管理能力，良好的科技文件、作业指导书撰写功底，以及工作总结与汇报能力。

"
6,通信技术工程师,光纤研发经理/高级光纤研发工程师,15-30k·15薪,天津-东丽区,3-5年-硕士,3-5年-硕士,北京凯普林光电科技股份有限公司,电子/半导体/集成电路-500-999人,天津-东丽区,电子/半导体/集成电路-500-999人,"岗位职责：
1、负责双包层无源光纤/传能光纤的产品研发；
2、负责双包层无源光纤/传能光纤的良率控制与成本优化；
3、负责其它特种光纤的研发设计和定型相关工作；
4、编制新产品研制策划，制定开发计划，按计划实施公司新产品开发和研制工作；
5、负责新产品研发后的技术文件编制，记录各种技术细节，编写齐全的产品工艺文件；
7、协助生产部门完成产品转产，解决生产中的技术问题；
8、总结产品研发经验，持续改进产品性能，并根据用户或公司其他部门的要求进行设计修改和设计改进，完成产品定型工作；
9、负责政府机构或外部公司研发项目申报材料的编写；
10、领导安排的其他工作。
","任职要求:
1、 硕士及以上，光学、材料等相关专业；博士优先；
2、 有三年及以上的光纤研发经验；有独立承担过研发项目的经验；
3、 熟悉特种光纤拉丝塔整体结构，对拉丝工艺有深刻的见解；
4、 熟悉特种光纤工作原理与光纤激光器的基本知识，光纤的特征参数和测试技术，光纤的连接与耦合，及其它相关应用技术。
5、 熟悉产品概念、方案设计、实施、结构、性能、机理和使用方法等，有扎实的理论基础和实际操作技术工作经验。
6、 具有好文字撰写能力者优先(撰写论文，专利及项目申请书等）；
7、 具有较强团队意识、责任意识和良好的沟通能力，工作严谨细致、善于思考，能够承担较大压力；"
7,通信技术工程师,光纤研发经理/高级光学工程师,15-30k·14薪,天津-东丽区,3-5年-硕士,3-5年-硕士,北京凯普林光电科技股份有限公司,电子/半导体/集成电路-500-999人,天津-东丽区,电子/半导体/集成电路-500-999人,"岗位职责：
1、负责双包层无源光纤/传能光纤的产品研发；
2、负责双包层无源光纤/传能光纤的良率控制与成本优化；
3、负责其它特种光纤的研发设计和定型相关工作；
4、编制新产品研制策划，制定开发计划，按计划实施公司新产品开发和研制工作；
5、负责新产品研发后的技术文件编制，记录各种技术细节，编写齐全的产品工艺文件；
7、协助生产部门完成产品转产，解决生产中的技术问题；
8、总结产品研发经验，持续改进产品性能，并根据用户或公司其他部门的要求进行设计修改和设计改进，完成产品定型工作；
9、负责政府机构或外部公司研发项目申报材料的编写；
10、领导安排的其他工作。
","任职要求:
1、 硕士及以上，光学、材料等相关专业；博士优先；
2、 有三年及以上的光纤研发经验；有独立承担过研发项目的经验；
3、 熟悉特种光纤拉丝塔整体结构，对拉丝工艺有深刻的见解；
4、 熟悉特种光纤工作原理与光纤激光器的基本知识，光纤的特征参数和测试技术，光纤的连接与耦合，及其它相关应用技术。
5、 熟悉产品概念、方案设计、实施、结构、性能、机理和使用方法等，有扎实的理论基础和实际操作技术工作经验。
6、 具有好文字撰写能力者优先(撰写论文，专利及项目申请书等）；
7、 具有较强团队意识、责任意识和良好的沟通能力，工作严谨细致、善于思考，能够承担较大压力；"
8,通信技术工程师,光纤陀螺副总师,薪资面议,长沙-岳麓区,5-10年-硕士,5-10年-硕士,湖南航天机电设备与特种材料研究所,航空/航天设备,长沙-岳麓区,航空/航天设备,"职责描述：
1、负责光纤陀螺工艺和光纤环工艺，熟悉光纤陀螺装配工艺和光纤环绕制工艺。
2、负责光纤陀螺研制和生产过程中的关键、重要技术攻关，重要技术决策、技术支持和审定。
3、负责对光纤陀螺产品性能、技术指标、质量等进行全面管理。
4、负责组织光纤陀螺预先研究、产业项目及科技创新项目、软课题、能力建设、科技成果等项目申报及实施工作。
5、负责光纤陀螺新技术、新产品的研究应用和推广。
6、负责光纤陀螺专业技术人才队伍建设和培养。
7、完成所领导交办的其他任务。

","任职要求：
1、硕士及以上学历，系统掌握光纤光学、信号处理、电子电路、结构力学和热学设计相关理论知识和技术；
2、光纤陀螺领域5年以上工作经验，有航天系统工作经验者优先考虑；
3、熟练使用相关工具进行设计、开发、测试验证工作，具备一定工程实践经验和独立解决问题的能力；
4、具有团队合作精神和抗压能力。"
9,通信技术工程师,光纤传感研发工程师 ,15-25k·13薪,武汉,经验不限-本科-光纤传感器-DAS-BOTDA-BOTDR-分布式光纤传感技术,经验不限-本科-光纤传感器-DAS-BOTDA-BOTDR-分布式光纤传感技术,某郑州仪器仪表上市公司,仪器仪表-已上市-2000-5000人,武汉,仪器仪表-已上市-2000-5000人,"职责描述：
1、负责光纤分布式震动传感系统的原理创新、系统设计与优化；
2、面向客户需求的光纤传感器产品的定制开发；
3、光纤传感器的测试、安装调试、工程应用；
4、相关技术文档的整理与编写；
5、光纤传感器生产测试工装的设计、调校。
","任职要求：
1、本科及以上，光学或光电专业，1年以上工作经验；
2、工作责任心、工作严谨细致、团队合作、沟通协调能力，服从管理、执行能力强、能承受一定工作压力；
3、光纤传感器研究开发或光纤传感器工程应用经验（分布式光纤传感技术开发经验者优先）；
4、扎实的光电子学、光纤光学基础，熟悉光纤中脉冲传输机制、各类非线性效应（SPM，XPM，SBS，SRS等）机制；熟悉各类干涉仪、传感器件（的工作机理及相关的信号解调方法；能提出新的想法并独立实现；能使用Matlab和其他编程工具进行建模仿真和算法验证；熟练操作各类光学和电学仪器；
5、有分布式光纤传感系统（声波、应变、温度）研究经验者优先；有机器学习算法降噪研究经历者优先。"
10,通信技术工程师,光纤传感中心刘波研究员项目组博士后,30-35k,杭州-余杭区,经验不限-博士,经验不限-博士,之江实验室,人工智能-2000-5000人,杭州-余杭区,人工智能-2000-5000人,"职位描述

项目组基本情况介绍

光纤传感研究中心刘波团队围绕航空、能源领域超高温极限感知以及中红外激光探测的国家重大需求，发展特种光纤（Sapphire、YAG等）制备关键技术，激光加热基座法制备技术、利用智能计算赋能的分布式光纤传感技术系统，实现面向超高温环境的高速高空间分辨率分布式光纤传感仪器，并展开中红外激光器探测关键元器件的合作研究。


合作导师

团队负责人刘波，之江实验室光纤传感研究中心PI，科研发展部副部长，浙江大学光电与工程学院兼聘教授/博士后导师，浙江省“海外高层次引进人才”。机械工程与光信息科学双学位，美国弗吉尼亚理工大学博士，美国能源部国家能源技术实验室PI研究员。长期致力于特种光纤的制造研究及其极限感知技术。2019年荣登中美煤炭清洁发展论坛主办方宣传册封面人物，受邀担任美国能源部科学办公室企业基金（SBIR）评审员，主持和参与美国能源部项目超过600万美元，主持国家自然基金面上项目、之江实验室智能感知院重大项目、之江实验室首批创新项目，获美国卡耐基科学奖，入围美国威廉-史蒂芬最终名单。


博士后研究方向

1. 单晶光纤智能制备关键技术（LHPG）；
2. 分布式光纤温度传感技术；
3. 面向光纤传感的智能算法研究；
4. 光纤拉制技术及其自动化控制.


申请流程

1.完成线上岗位申请并提交，或将所需材料发送至博管办邮箱，标明投递岗位、毕业时间及研究方向，材料需包括：简历、学术代表作、专家推荐信（可面试后提供）；
2.初审合格者进入人才测评、博士后面试、上会审核流程；
3.确定人选后，签署招收协议；
4.办理博士后进站手续并报到。


福利待遇

1.提供年薪税前40万元起，根据政府规定高标准缴纳五险一金；
2.入选博士后创新人才支持计划、博士后国际交流计划引进项目的博士后，项目资助可叠加；
3.对获得中国博士后科学基金资助、浙江省博士后科研项目择优资助的博士后，给予1：1科研经费配套；
4.提供住房保障、餐补，协助子女入学入托，协助办理落户；
5.出站考核等级为优秀和良好者可直接续聘；特别优秀者可申请实验室高层次人才岗位；
6.出站考核优秀、且留实验室工作的博士后，可通过职称评审“直通车”直接评定副高级专业技术职称。


","任职要求

应聘条件

1. 国内外一流高校博士；
2. 光学/机械/电子/材料/自动化相关专业； 3. 具有良好英语水平，在重要刊物上独立发表过文章；
4. 具有较强的独立思考和工作能力，工作积极主动，能基本独当一面；
5. 具有良好的学术道德，严谨的科学态度，良好的沟通能力及团队合作精神。"
